outcode,postcode,num_meters,total_cons_kwh,mean_cons_kwh,median_cons_kwh,Latitude_Longitude
CH61,All postcodes,7529,87678005.27472503,11645.37193182694,10807.219250022135,"(53.3535768, -3.0928352)"
CH62,All postcodes,13518,136859256.38001537,10124.22372984283,8948.759468254082,"(53.3494969, -2.9977604)"
CH63,All postcodes,12302,145185983.49979135,11801.819500877204,10883.998838465708,"(53.3541532, -3.0093809)"
CH64,All postcodes,8014,96927212.11219004,12094.735726502377,10475.49205380566,"(53.3002877, -3.0473884)"
CH65,All postcodes,13495,117193048.51305312,8684.182920567107,7761.628908500014,"(53.2783439, -2.9014809)"
CH66,All postcodes,15900,155651680.09301147,9789.413842327764,8929.564571142153,"(53.256582, -2.925235)"
CH7,All postcodes,17349,180198211.767748,10386.662733745345,9462.607879816767,"(51.19971135, 0.7820452486102567)"
CH8,All postcodes,5870,58750471.80589974,10008.598263356003,9027.850019333942,"(51.20418425, 0.7950670537629481)"
CM0,All postcodes,5580,62116334.161172874,11131.959527091913,9886.974541740468,"(51.6632899, 0.8189368)"
CM1,All postcodes,25745,285133666.99934524,11075.302660685384,9944.037882053472,"(51.7396157, 0.4738417)"
CM11,All postcodes,7256,107436445.82931532,14806.56640426066,13134.810019081102,"(51.616713, 0.4232435)"
CM12,All postcodes,8386,115274249.68183628,13746.035020490854,12479.508621942376,"(51.6228196, 0.4163669)"
CM13,All postcodes,10045,143717074.52745363,14307.324492528982,12159.178331285666,"(51.5969746, 0.3487301)"
CM14,All postcodes,8531,106136309.3765822,12441.250659545449,10357.781574398346,"(51.6263633, 0.2507198)"
CM15,All postcodes,9462,141417870.10776016,14945.875090653157,13266.193088154982,"(51.6823972, 0.2906067)"
CM16,All postcodes,9088,127373483.10178928,14015.568122996176,12196.538157355364,"(51.7036629, 0.1096463)"
CM17,All postcodes,10204,106951826.51908515,10481.362849773142,9289.192969749389,"(51.7663899, 0.1477986)"
CM18,All postcodes,10248,99320137.58461848,9691.660576172764,8828.799967963943,"(51.7580064, 0.1132801)"
CM19,All postcodes,7879,83837710.6627892,10640.653720369231,9152.158896373376,"(51.771558, 0.0400744)"
CM2,All postcodes,23003,260249372.846334,11313.714421872535,10119.23234790566,"(51.7318775, 0.5126694)"
CM20,All postcodes,9559,96735681.85468069,10119.853735189943,8842.815525233658,"(51.7718673, 0.0938881)"
CM21,All postcodes,4552,59261517.506174274,13018.78679836869,11326.572495469787,"(51.8338236, 0.1416914)"
CM22,All postcodes,4835,68258239.54868291,14117.526276873405,12076.404809339125,"(51.9329221, 0.2477587)"
CM23,All postcodes,16833,210964839.9686586,12532.812925126753,10870.065773009732,"(51.8626252, 0.150254)"
CM24,All postcodes,3293,41611430.60792504,12636.328760378088,11120.343581375218,"(51.8901353, 0.262816)"
CM3,All postcodes,15680,194469408.8802293,12402.385770422785,11090.810799986304,"(51.43597915, -2.8534069676629037)"
CM4,All postcodes,3525,58043695.59588382,16466.296622945763,14281.289652208476,"(51.6930654, 0.2949386)"
CM5,All postcodes,3173,42385927.90890502,13358.313239491024,11649.931423880204,"(51.778607, 0.2772928)"
CM6,All postcodes,9406,119534544.25025553,12708.329178211305,11148.374695912022,"(51.8729598, 0.3623461)"
CM7,All postcodes,17355,183802918.4897529,10590.776058182246,9443.482265314067,"(51.9119671, 0.5001234)"
CM77,All postcodes,4994,62511505.05282634,12517.321796721331,11193.92525703473,"(51.8845782, 0.637189)"
CM8,All postcodes,13066,134081182.73566224,10261.838568472542,9056.05221796061,"(51.8107924, 0.6219452)"
CM9,All postcodes,10297,108435006.81177951,10530.737769426,9508.5544954885,"(51.7340715, 0.6786451)"
