outcode,postcode,num_meters,total_cons_kwh,mean_cons_kwh,median_cons_kwh,Latitude_Longitude
CV31,All postcodes,13028,136795268.24308738,10500.097347489052,8887.345843866675,"(52.2839667, -1.5449753)"
CV32,All postcodes,13331,167746843.6961523,12583.215339895904,10691.521561086223,"(52.2905107, -1.5340879)"
CV33,All postcodes,3548,39437771.88669296,11115.493767388096,9499.61819526998,"(52.1973471, -1.488358)"
CV34,All postcodes,15218,159211601.02538973,10462.058156485064,9122.759122759106,"(52.2823848, -1.5897304)"
CV35,All postcodes,6575,78482029.08522089,11936.430279121048,10234.542843237869,"(52.1730334, -1.4932499)"
CV36,All postcodes,3098,32293073.85556898,10423.845660286952,9030.27533462278,"(52.0968039, -1.5863232)"
CV37,All postcodes,17442,202229876.3190811,11594.420153599422,9757.28693119848,"(52.1901123, -1.697949)"
CV4,All postcodes,13269,148026972.7075369,11155.84992897256,9288.933201979564,"(52.4046098, -1.5825508)"
CV47,All postcodes,6933,71552401.9753606,10320.554157703822,9000.106826193638,"(52.1758084, -1.3717139)"
CV5,All postcodes,19713,233220623.3474715,11830.803193195938,10585.684498727353,"(52.4037863, -1.5343702)"
CV6,All postcodes,35705,394216717.6922556,11040.938739455416,9850.75985075858,"(52.4150096, -1.5342075)"
CV7,All postcodes,11387,147354681.82838166,12940.60611472571,11182.181092362884,"(52.4382308, -1.6494554)"
CV8,All postcodes,12598,162290701.3664168,12882.25919720724,11432.87556330983,"(52.338551, -1.5186624)"
CV9,All postcodes,8712,97030107.97417185,11137.52387215012,9905.65664478695,"(52.5645084, -1.5840987)"
CW1,All postcodes,19223,179820036.3997501,9354.421078902882,8426.067654629607,"(51.3472333, 0.9971715)"
CW10,All postcodes,6354,65783738.347992845,10353.12218256104,9343.485301137463,"(53.2193374, -2.4938831)"
CW11,All postcodes,11480,120104433.13089396,10462.058635095293,9421.2492432778,"(53.1430096, -2.3626434)"
CW12,All postcodes,14359,163342090.8504369,11375.58958495974,10081.62828406412,"(53.1699666, -2.1947418)"
CW2,All postcodes,18696,201470556.22865865,10776.131591177718,9587.200556070173,"(51.3265048, 0.9866228)"
CW3,All postcodes,2130,26436221.71080215,12411.371695212276,10951.663125575864,"(53.00465, -2.4922)"
CW4,All postcodes,4376,56929197.64027897,13009.41445161768,11686.739279158292,"(53.2035649, -2.3522433)"
CW5,All postcodes,11551,124962512.10027966,10818.32846509217,9516.731551979334,"(53.0778991, -2.498471)"
CW6,All postcodes,3155,42030742.32636987,13321.946854633872,11790.588594294402,"(53.1662335, -2.6601197)"
CW7,All postcodes,14827,142604369.7639514,9617.884249271692,8686.921384590807,"(53.2001584, -2.5369585)"
CW8,All postcodes,16702,188009384.97506064,11256.698896842332,9894.72337200259,"(53.2236745, -2.5444809)"
CW9,All postcodes,14667,157895459.38909885,10765.354836646817,9657.494130790288,"(53.2819054, -2.4754696)"
DA1,All postcodes,24234,247103830.4425389,10196.576316024546,8940.555179955334,"(51.4577079, 0.2308678)"
DA10,All postcodes,5461,46590275.6731816,8531.45498501769,7524.585031002187,"(51.435001, 0.303507)"
DA11,All postcodes,16147,164688842.9590515,10199.346191803525,8782.006409760928,"(51.4158629, 0.3706711)"
DA12,All postcodes,18420,197817159.16078684,10739.259454983,9582.228976336444,"(51.4183203, 0.3937343)"
DA13,All postcodes,4864,69733209.09420875,14336.597264434364,12917.2375419568,"(51.3266614, 0.3460364)"
DA14,All postcodes,8789,103740505.34477969,11803.448099303638,10029.45616774688,"(51.4259223, 0.1122493)"
DA15,All postcodes,11023,141351177.77583718,12823.29472701054,11728.620346490432,"(51.4330325, 0.1029182)"
DA16,All postcodes,13550,166924804.79123604,12319.173785331071,11501.765974041631,"(51.4520413, 0.110929)"
DA17,All postcodes,6417,70264897.22047298,10949.80477177388,9819.054969556631,"(51.4859364, 0.1485472)"
DA18,All postcodes,1921,17732239.666458596,9230.73381908308,7945.3874273817855,"(51.4935969, 0.1337162)"
DA2,All postcodes,8749,106173143.96300724,12135.460505544315,10717.498000691234,"(51.4232876, 0.23086)"
DA3,All postcodes,6124,86228027.72384071,14080.34417436981,12838.960318932732,"(51.3908216, 0.3046232)"
DA4,All postcodes,3826,49271971.704033874,12878.194381608437,10897.485755540276,"(51.4015291, 0.2355276)"
DA5,All postcodes,8312,116305421.6316844,13992.47132238744,12757.193028642603,"(51.441503, 0.1493661)"
DA6,All postcodes,4171,53962413.20599319,12937.524144328265,11416.508616477284,"(51.4539755, 0.1361121)"
DA7,All postcodes,13914,175803426.3225419,12635.002610503228,11866.72729411797,"(51.4610218, 0.1267924)"
DA8,All postcodes,12507,129643622.16589902,10365.684989677702,9377.312169566534,"(51.4736992, 0.1622458)"
DA9,All postcodes,5616,54774807.16432425,9753.34885404634,8583.571156487515,"(51.4455727, 0.2601772)"
DD1,All postcodes,4237,39554270.66163097,9335.442686247574,6916.53902754081,"(56.4593571, -2.9773921)"
DD10,All postcodes,7237,84610604.96755327,11691.39214696052,9839.725300578844,"(56.707271, -2.460561)"
DD11,All postcodes,11117,119432993.59098588,10743.275487180525,9200.02803055478,"(56.5601557, -2.5836808)"
DD2,All postcodes,17174,194153674.96732816,11305.093453320613,9596.460141551705,"(56.5037286, -3.1311545)"
DD3,All postcodes,16244,169935202.46643642,10461.41359680106,9094.412910073355,"(56.519571, -3.0800775)"
DD4,All postcodes,18300,179551229.36477143,9811.542588238875,8494.25874203142,"(56.4766041, -2.9241314)"
DD5,All postcodes,13343,191050375.58869097,14318.397331086782,12857.014145415724,"(56.4702775, -2.8642199)"
DD6,All postcodes,4064,57220408.866527975,14079.825016370072,12036.619915708749,"(56.4505868, -2.8960728)"
DD7,All postcodes,5101,63424671.119790144,12433.77202897278,10879.88127038406,"(56.5164165, -2.6678722)"
DD8,All postcodes,10147,124626779.66937104,12282.130646434518,10665.625531827058,"(56.6287309, -2.7693481)"
DD9,All postcodes,3633,46603262.54071784,12827.762879360816,10979.968165300628,"(56.7809182, -2.6452421)"
DE1,All postcodes,6662,66475000.68138316,9978.234866614104,7195.502314401536,"(52.9162324, -1.4635276)"
DE11,All postcodes,20332,208295065.53917247,10244.69139972322,9335.08155035166,"(52.7814315, -1.5798886)"
DE12,All postcodes,7197,82187962.11656834,11419.752968815945,10329.37997894116,"(52.7600881, -1.6830293)"
DE13,All postcodes,17741,210016172.18603244,11837.899339723375,10448.576593756814,"(52.8239419, -1.6558245)"
DE14,All postcodes,14012,151870684.68417132,10838.615806749309,9040.56658124534,"(52.8003001, -1.6353502)"
DE15,All postcodes,10793,121700484.93882932,11275.87185572402,9925.104793692946,"(52.7978879, -1.6047069)"
DE21,All postcodes,24861,261813333.77267364,10531.086190124037,9600.29401832031,"(52.9222489, -1.4083479)"
DE22,All postcodes,20704,237187469.77990296,11456.118130791294,10084.033613443826,"(52.913481, -1.4882418)"
DE23,All postcodes,22546,291172309.89001876,12914.588392176827,11350.000993309548,"(52.888035, -1.4954622)"
DE24,All postcodes,24471,242315527.8544559,9902.150621325483,8926.833144605162,"(52.8979236, -1.4529489)"
DE3,All postcodes,8594,97305810.74109316,11322.528594495368,10358.68248008299,"(52.9142883, -1.5373254)"
DE4,All postcodes,14943,184392054.8975512,12339.694498932691,10497.248544809774,"(53.0892917, -1.468783)"
DE45,All postcodes,3757,56903343.059244215,15145.952371371895,12803.703041500848,"(53.2071937, -1.6692599)"
DE5,All postcodes,10331,115512587.74397182,11181.162302194543,10029.401831655783,"(53.0593632, -1.4342302)"
DE55,All postcodes,24187,271358266.9413832,11219.178357852696,10081.053698070618,"(53.1445645, -1.3402301)"
DE56,All postcodes,17218,204493474.1606564,11876.726342238146,10478.872400023947,"(53.002989, -1.4605697)"
DE6,All postcodes,6470,74836334.74944778,11566.666885540615,9998.112720265892,"(52.9595705, -1.7242342)"
DE65,All postcodes,9713,110337604.65063864,11359.786332815676,10098.933190299787,"(52.875051, -1.684579)"
DE7,All postcodes,22762,243406638.31035388,10693.55233768359,9465.701174082576,"(52.9845961, -1.3083544)"
DE72,All postcodes,8927,110581635.41752943,12387.323335670377,10994.894411666988,"(52.9062621, -1.3800636)"
DE73,All postcodes,8264,92946142.29968113,11247.113056592583,9973.77674473938,"(52.8414665, -1.4495733)"
DE74,All postcodes,5904,68486307.36458233,11599.98430971923,9902.258775852086,"(52.8143339, -1.3334507)"
DE75,All postcodes,8260,90566703.49432674,10964.491948465708,9968.313566560935,"(53.0131342, -1.3547612)"
DG1,All postcodes,10587,125419089.57799745,11846.51833172735,10472.414932277326,"(55.0331145, -3.4057795)"
DG10,All postcodes,1304,19947230.02995844,15296.955544446657,12780.430669429248,"(55.2409981, -3.3988781)"
DG11,All postcodes,2974,37050683.82865812,12458.199000893786,11130.017693049973,"(55.0167867, -3.1407612)"
DG12,All postcodes,5369,59555797.63188269,11092.53075654362,9810.69365608633,"(54.9785743, -3.331015)"
DG13,All postcodes,1012,12054817.904825268,11911.875400024968,10566.189194658178,"(55.1537016, -3.0103004)"
DG16,All postcodes,1538,17437690.996416308,11337.900517825949,10264.00865742888,"(55.0049297, -3.0626155)"
DG2,All postcodes,7970,85015193.40580726,10666.900050916844,9313.151334955952,"(55.103944, -3.7597401)"
DG4,All postcodes,1869,22134912.696220007,11843.184963199576,10546.495680291286,"(55.3675705, -3.9231377)"
DG5,All postcodes,1916,21267690.972527675,11100.04748044242,9869.75803625956,"(54.9327951, -3.8224291)"
DG6,All postcodes,1723,21791316.89483928,12647.311024282808,10733.699732708405,"(54.8664496, -4.0826745)"
DG7,All postcodes,2664,34227545.2743657,12848.17765554268,10746.213372576707,"(55.0609968, -3.931165)"
DG8,All postcodes,1983,23520278.666099947,11860.957471558218,10239.160685146857,"(54.8963854, -4.3813227)"
DG9,All postcodes,4402,45453534.94233369,10325.655370816376,8860.658117347217,"(54.9055918, -5.0304196)"
DH1,All postcodes,18820,247214029.15901485,13135.708244368485,11675.549059840216,"(54.7784683, -1.533678562792297)"
DH2,All postcodes,14387,154983309.8740082,10772.454985334552,10000.442889409103,"(54.8509969, -1.586125)"
DH3,All postcodes,12488,144855584.84219632,11599.582386466713,10407.901147082632,"(53.4561734, -1.5084631)"
DH4,All postcodes,16270,180255459.08445337,11079.007933893874,10192.853733310922,"(54.8755686, -1.4878805)"
DH5,All postcodes,10167,112666388.7275812,11081.576544465546,10103.783751861474,"(54.8074129, -1.4758947)"
DH6,All postcodes,16582,183675624.61939377,11076.807660076816,10064.415804264643,"(54.7385132, -1.4667789)"
DH7,All postcodes,19027,216196561.0965036,11362.619493167793,10323.260059743512,"(54.8189809, -1.6189517)"
DH8,All postcodes,17584,213894512.4022622,12164.155618872965,11089.45873993394,"(54.8457204, -1.832141)"
DH9,All postcodes,17395,194816968.47119927,11199.595772992196,10220.903395979933,"(54.8691196, -1.6969961)"
DL1,All postcodes,21811,225859766.83547872,10355.31460435004,9215.846235216284,"(57.7081737, -3.3428678)"
DL10,All postcodes,6637,82490037.17658445,12428.813797888271,10939.368439702464,"(54.406573, -1.7315913)"
DL12,All postcodes,3855,48897348.557993434,12684.137109725923,10791.738636195672,"(54.542154, -1.9320318)"
DL13,All postcodes,3154,41473728.25368144,13149.56507726108,11340.763914506637,"(54.730269, -1.883611)"
DL14,All postcodes,17278,195520541.2841163,11316.15587939092,10103.78375186442,"(54.6489465, -1.6762118)"
DL15,All postcodes,9987,111344148.4375535,11148.90842470747,10012.253273691718,"(54.70489, -1.7837033)"
DL16,All postcodes,10717,115791700.33814707,10804.488227876,9789.82436974348,"(54.6981976, -1.5876923)"
DL17,All postcodes,8879,93986720.35651362,10585.282166518033,9617.589598988194,"(54.6870066, -1.5642993)"
DL2,All postcodes,7172,91028304.36849472,12692.178523214548,11061.901176610272,"(57.70942, -3.3403783)"
DL3,All postcodes,19897,239250389.96672785,12024.445392105736,10613.598673304505,"(54.5390715, -1.5904538)"
DL4,All postcodes,4984,51548219.81130707,10342.740732605753,9376.854896747078,"(54.6249558, -1.6445821)"
DL5,All postcodes,13758,148800780.53503862,10815.582245605365,9807.047846821091,"(54.6131782, -1.5678547)"
DL6,All postcodes,5103,53412757.39050145,10466.932665197226,9470.943994172554,"(54.3469978, -1.4478055)"
DL7,All postcodes,5031,56209027.804609224,11172.53583872177,9984.695710369046,"(54.3407635, -1.4345955)"
DL8,All postcodes,3670,42808823.15092532,11664.529468916982,10139.705517344384,"(54.3113392, -1.8314524)"
DL9,All postcodes,4891,50300275.08411441,10284.251703969416,9362.68213827098,"(54.3754342, -1.7079974)"
DN1,All postcodes,3241,43804474.690320835,13515.728074767305,10042.314798259147,"(53.5159641, -1.1284062)"
DN10,All postcodes,4166,52886236.44588929,12694.727903477986,11029.1634384246,"(53.4100705, -0.8926701)"
DN11,All postcodes,13451,146318191.44861203,10877.867180775558,9853.586824803602,"(53.4370677, -1.1034123)"
DN12,All postcodes,10799,110906642.4054038,10270.084489804964,9404.612908992942,"(53.4871087, -1.2729864)"
DN14,All postcodes,18669,201716915.5031426,10804.912716435942,9763.49945586084,"(53.6914988, -1.0259898)"
DN15,All postcodes,14505,167502326.16788208,11547.902527947748,10222.103025605084,"(53.5903246, -0.6684963)"
DN16,All postcodes,14514,145698945.85207635,10038.510806950278,9248.167352049624,"(53.5666578, -0.6347562)"
DN17,All postcodes,14296,154894330.41119954,10834.802071292635,9883.385978504268,"(53.6403222, -0.7465752)"
DN18,All postcodes,5658,58127620.5213331,10273.527840461842,8928.323102289949,"(53.6879936, -0.4439592)"
DN19,All postcodes,2454,28888723.155323375,11772.09582531515,10469.93265391238,"(53.6773598, -0.3326483)"
DN2,All postcodes,10756,122609695.10620424,11399.190694143195,10320.44023282916,"(53.5447161, -1.0799364)"
DN20,All postcodes,8122,94976847.98967156,11693.775915990096,10327.39336869568,"(53.5521068, -0.4921955)"
DN21,All postcodes,15157,162194958.75404617,10700.99351811349,9498.976895720592,"(53.371589, -0.6933003)"
DN22,All postcodes,13561,147022615.2999097,10841.57623330947,9420.505790966905,"(53.3202992, -0.8241972)"
DN3,All postcodes,13406,144080270.18954054,10747.446679810571,10066.15412122098,"(53.5501825, -1.0664819)"
DN31,All postcodes,4785,44784957.36601161,9359.447725394277,7576.93148181248,"(53.5769386, -0.1104983)"
DN32,All postcodes,12634,126420195.2710685,10006.347575674252,8524.04791703842,"(53.551119, -0.088183)"
DN33,All postcodes,8851,91078216.20085531,10290.16113443174,9334.088245227842,"(53.5366045, -0.0930378)"
DN34,All postcodes,8049,78844013.90724087,9795.504274722434,8921.866618989265,"(53.5625509, -0.0996628)"
DN35,All postcodes,15179,157966103.2658179,10406.88472664984,9451.298249797006,"(53.5692909, -0.0494438)"
DN36,All postcodes,8084,96934202.59342287,11990.871176821236,10829.01245604491,"(53.4683764, -0.0242579)"
DN37,All postcodes,8649,96678681.1736459,11178.018403705157,10118.79929276758,"(53.514234, -0.1110763)"
DN38,All postcodes,1035,13063443.797342485,12621.684828350226,11055.48602419706,"(53.581447, -0.3870409)"
DN39,All postcodes,897,10384275.819391929,11576.673154283086,10645.251008204914,"(53.5874805, -0.3338346)"
DN4,All postcodes,25273,284074267.9114662,11240.227432891472,9879.41275801503,"(53.5136266, -1.1445731)"
DN40,All postcodes,5213,52160956.97317158,10005.938418026391,9151.320102508003,"(53.6064441, -0.2690879)"
DN41,All postcodes,2837,34475662.234708704,12152.154471169792,10751.534656416372,"(53.5790668, -0.1578891)"
DN5,All postcodes,16945,182762252.80615264,10785.615391333882,9736.376820234029,"(53.5651156, -1.1540539)"
DN6,All postcodes,13302,136543517.81871358,10264.886319253765,9414.910217016732,"(53.616388, -1.1524042)"
DN7,All postcodes,9525,100971360.74201337,10600.667794437097,9744.323261217563,"(53.5779586, -1.0007322)"
DN8,All postcodes,7715,78682299.54496902,10198.613032400392,9330.115024731973,"(53.5919524, -0.9918113)"
DN9,All postcodes,8463,106015859.0872866,12526.983231393902,11174.682639013654,"(53.4889336, -0.8660813)"
DT1,All postcodes,9582,90542292.2319707,9449.20603548014,8006.757290447831,"(50.7143762, -2.4459339)"
DT10,All postcodes,3491,39030715.00565007,11180.382413534824,9480.348172254107,"(50.8543583, -2.3923411)"
DT11,All postcodes,9327,96037190.52707905,10296.686021987674,8782.305456384707,"(50.8534651, -2.1491676)"
DT2,All postcodes,4872,51481489.238238335,10566.80813592741,8981.746232345877,"(50.8671928, -2.6059702)"
DT3,All postcodes,10190,94324658.72271316,9256.590649922782,8022.060914347571,"(50.6647937, -2.4794471)"
DT4,All postcodes,16589,144108476.79729545,8686.989981149885,7342.777479383463,"(50.6164709, -2.4519683)"
DT5,All postcodes,5588,45589020.096475184,8158.378685840226,7119.640769644799,"(51.41583975, -2.7392687919250562)"
DT6,All postcodes,8441,81493468.93015416,9654.480385043737,7971.707055069481,"(50.7921393, -2.7495076)"
DT7,All postcodes,2691,29054635.596490618,10796.966033627134,8579.902688698312,"(50.7166325, -2.9973561)"
DT8,All postcodes,1502,15634530.293620393,10409.141340626094,8546.333449179905,"(50.8110627, -2.7319238)"
DT9,All postcodes,5980,61566387.63351201,10295.382547410036,8432.790433161106,"(50.8736991, -2.4614452)"
DY1,All postcodes,13102,144325110.92373022,11015.502283905527,9671.727063030236,"(52.5118118, -2.0827609)"
DY10,All postcodes,15614,164741712.45182073,10550.897428706336,9121.27542562428,"(52.4069982, -2.1774387)"
DY11,All postcodes,13005,133831013.29873976,10290.735355535544,9022.856848941316,"(52.511802, -2.0832974)"
DY12,All postcodes,3959,44433072.70008733,11223.307072515112,9977.368673019892,"(52.3758238, -2.3149158)"
DY13,All postcodes,8983,91588732.99362738,10195.78459241093,9270.139704922924,"(52.3089792, -2.2829437)"
DY2,All postcodes,13559,152045881.31286675,11213.65007101311,9725.140159920747,"(52.5119946, -2.0825812)"
DY3,All postcodes,15101,168535764.52342844,11160.569798253657,10184.097140620135,"(52.512166, -2.0824337)"
DY4,All postcodes,17580,177333543.1511813,10087.232261159346,9014.76166706963,"(52.5123325, -2.0822728)"
DY5,All postcodes,17164,174571897.33793175,10170.816670818676,9133.77283462958,"(52.5125202, -2.0820796)"
DY6,All postcodes,12303,141428225.8798567,11495.425983894716,10556.999687433436,"(52.5262518, -2.0693934)"
DY7,All postcodes,2936,43680269.59604922,14877.476020452732,12654.452871844174,"(52.5131411, -2.0835907)"
DY8,All postcodes,22212,248726076.97528243,11197.824463140754,9975.39041017637,"(52.448694, -2.140688)"
DY9,All postcodes,12313,166171519.41338947,13495.615967951717,11573.82679121616,"(52.5123804, -2.0840413)"
E1,All postcodes,22069,192686204.226672,8731.079986708595,7153.6332663901585,"(54.9762011, -1.5728953)"
E10,All postcodes,15052,166793520.12843892,11081.153343637983,9448.091198831971,"(51.41431925, 0.8699548641123186)"
E11,All postcodes,19134,229623185.4332395,12000.793636105336,9890.197724023108,"(54.165954049999996, -0.2491785000000017)"
E12,All postcodes,12190,144432715.75454777,11848.45904467168,10478.673980158608,"(51.414198549999995, 0.8697746640253061)"
E13,All postcodes,14856,154590859.08680686,10405.95443503008,8897.581152770712,"(51.39988265, 0.9193144500000002)"
E14,All postcodes,20809,178593738.9035594,8582.523855233763,7214.579024669961,"(51.086547100000004, -1.393695074583369)"
E15,All postcodes,15846,158977501.66565198,10032.658189174048,8484.10400573622,"(51.3999766, 0.9191090534037605)"
E16,All postcodes,13906,125524052.40379857,9026.610988335868,7876.989479362982,"(55.6396164, -2.6608955)"
E17,All postcodes,36960,390263467.0887354,10559.076490496089,9188.322393064494,"(55.6396398, -2.6608371)"
E18,All postcodes,7640,99396805.30864248,13010.053050869436,10858.336080888206,"(51.39977245, 0.9188872)"
E1W,All postcodes,2697,20234210.15415687,7502.488006732247,6159.518028954071,"(51.509237, -0.0633161)"
E2,All postcodes,15556,128320139.43841062,8248.916137722463,6867.887580052307,"(54.9762762, -1.5742996)"
E20,All postcodes,12,352394.2467745668,29366.187231213906,26745.236173577006,"(55.6396928, -2.6607035)"
E3,All postcodes,16408,136295291.57582128,8306.636492919386,7032.740860636721,"(51.4147708, 0.8705416344065111)"
E4,All postcodes,23057,295558662.4554944,12818.6087719779,11486.776768678634,"(51.4147076, 0.8704551290642775)"
E5,All postcodes,16916,172355791.83807486,10188.921248408304,8289.622236208488,"(54.9755487, -1.5784238)"
E6,All postcodes,22777,257395049.15745977,11300.656326885004,10063.043890931884,"(54.9753591, -1.5811345)"
E7,All postcodes,15468,187940119.73431963,12150.253409252626,10530.627741307751,"(51.41452505, 0.8701896890067911)"
E8,All postcodes,14917,135381546.1174587,9075.655032342876,7252.209501157608,"(51.5553195, -0.020843286442749166)"
E9,All postcodes,14697,129627605.86357614,8820.004481429962,7312.491882223631,"(50.762657, -1.9094763)"
EC1A,All postcodes,246,2951645.023539732,11998.557006259074,5528.080008792203,"(51.5179217, -0.1009806)"
EC1M,All postcodes,667,6717275.602636796,10070.877964972708,5665.685547951248,"(51.5211215, -0.1036295)"
EC1N,All postcodes,865,7513381.456626098,8685.990123267165,6248.438889388356,"(51.5221936, -0.1119564)"
EC1R,All postcodes,1845,16896076.344930634,9157.76495660197,6633.096544075758,"(51.5296997, -0.1105166)"
EC1V,All postcodes,4749,36731195.44987701,7734.511570831124,5837.80435412463,"(51.5267077, -0.1002157)"
EC1Y,All postcodes,1574,11845897.608712291,7525.983232981127,6037.232126565454,"(51.5222668, -0.0871634)"
EC2A,All postcodes,955,10706902.231056066,11211.415948749807,7047.852790187758,"(51.5200737, -0.0825539)"
EC2M,All postcodes,52,1220037.9619671353,23462.268499367987,20867.52497052145,"(51.5174547, -0.0829924)"
EC2N,All postcodes,13,514222.8346222635,39555.60266325104,36932.46882872829,"(None, None)"
EC2R,All postcodes,22,536696.5817005272,24395.299168205784,20626.495805992516,"(51.514093, -0.0909926)"
EC2V,All postcodes,27,857951.9919890105,31775.99970329669,30906.73971550559,"(51.5152857, -0.0932938)"
EC2Y,All postcodes,64,622673.3303416583,9729.270786588411,5154.412572810195,"(51.5187193, -0.0930103)"
EC3A,All postcodes,67,1277657.1864185468,19069.510245052938,10283.847375835516,"(None, None)"
EC3M,All postcodes,33,908127.1318678046,27519.003995994077,20612.494111787528,"(51.5105477, -0.0846039)"
EC3N,All postcodes,109,1290400.7132337764,11838.538653520884,6641.803658242654,"(51.5115049, -0.0772257)"
EC3R,All postcodes,69,1145074.2772198669,16595.27937999807,7323.482100930178,"(51.5101621, -0.0821254)"
EC3V,All postcodes,29,751173.4637062805,25902.53323125105,18124.193027356305,"(51.5129865, -0.0883259)"
EC4A,All postcodes,63,1574949.3641089003,24999.196255696836,16454.99105391754,"(51.5167395, -0.1081333)"
EC4M,All postcodes,62,1204577.7740979216,19428.673775772928,12221.478798934684,"(51.513859, -0.1007845)"
EC4N,All postcodes,17,723337.0520661285,42549.23835683108,46419.616773629605,"(51.5137416, -0.0923586)"
EC4R,All postcodes,43,1054870.111000603,24531.863046525657,17216.08314606069,"(51.510667, -0.0887543)"
EC4V,All postcodes,124,1409070.6272804944,11363.472800649148,7388.923857766578,"(51.5135909, -0.1041425)"
EC4Y,All postcodes,207,3295302.675058026,15919.336594483217,9602.161861585231,"(51.5125836, -0.1067767)"
EH1,All postcodes,2796,34301416.93894503,12268.03180935087,9002.355540238379,"(55.9521671, -3.1892453)"
EH10,All postcodes,13964,216120646.66937175,15476.987014420778,13171.356778889853,"(55.9377907, -3.2060971)"
EH11,All postcodes,18395,143403383.14071926,7795.780545839591,6404.518766019002,"(55.9375444, -3.21636)"
EH12,All postcodes,18058,228741349.0893047,12667.036719974783,10571.022414435438,"(55.9478244, -3.2213073)"
EH13,All postcodes,6209,79596601.19023292,12819.552454539044,10504.449850336085,"(55.9106369, -3.2236918)"
EH14,All postcodes,16857,200674576.5027507,11904.524915628564,10107.818733315917,"(55.9268205, -3.2444313)"
EH15,All postcodes,9684,111678387.36489256,11532.258092202866,9285.621327246943,"(55.9436992, -3.0984078)"
EH16,All postcodes,14960,154136049.8354005,10303.21188739308,8243.485399083125,"(55.9276372, -3.1682132)"
EH17,All postcodes,9716,97526983.5525198,10037.771053161776,8998.30815588992,"(55.9113461, -3.1498036)"
EH18,All postcodes,839,13367691.980872976,15932.886747166836,13122.3033106085,"(55.8766516, -3.1179819)"
EH19,All postcodes,6703,73485934.34432547,10963.141033018868,10021.923897048824,"(55.8623481, -3.0910337)"
EH2,All postcodes,930,15762892.365907926,16949.346630008524,12498.428140059754,"(55.9539137, -3.1943532)"
EH20,All postcodes,3082,35421911.00297394,11493.157366312114,9938.833328328246,"(55.8757656, -3.1626439)"
EH21,All postcodes,12433,124519122.17421614,10015.211306540346,8622.398414270023,"(55.945406, -3.0492376)"
EH22,All postcodes,14898,163548985.15717754,10977.915502562597,9754.13200388473,"(55.8719041, -3.0388454)"
EH23,All postcodes,3953,40469765.8694076,10237.73485186127,9155.980018220194,"(55.8454354, -3.0465214)"
EH24,All postcodes,1047,13292272.336753989,12695.580073308489,11309.327166611454,"(55.8508418, -3.1363918)"
EH25,All postcodes,2282,26315067.30471689,11531.580764556042,10394.329819503842,"(55.8478515, -3.1651226)"
EH26,All postcodes,7545,87594686.67152214,11609.633753680866,10584.537145489234,"(55.8331418, -3.2172064)"
EH27,All postcodes,731,9078199.48239167,12418.877540891475,11158.162397012857,"(55.8892291, -3.4188771)"
EH28,All postcodes,1459,17877762.081424102,12253.43528541748,11233.244236217715,"(55.9376133, -3.3671361)"
EH29,All postcodes,2253,25500145.552910827,11318.306947585808,10325.254527434729,"(55.9561155, -3.4034529)"
EH3,All postcodes,12848,150063028.9959448,11679.874610518742,8526.293660089377,"(55.9591476, -3.1949181)"
EH30,All postcodes,4665,52098413.44527448,11167.934286232472,9782.663102782715,"(55.9847105, -3.4026236)"
EH31,All postcodes,1488,20938005.655293178,14071.240359740035,11449.980478722164,"(56.0341913, -2.8346347)"
EH32,All postcodes,9018,101019248.69934958,11201.95705248942,9917.810413350157,"(56.008016, -2.8650097)"
EH33,All postcodes,5986,68628170.85713033,11464.779628655251,10567.518595269328,"(55.945683, -2.9620165)"
EH34,All postcodes,691,9557927.270693572,13832.022099411826,13020.192009290016,"(55.9116157, -2.88125)"
EH35,All postcodes,1101,12022287.392862476,10919.425424943212,10234.155229199714,"(None, None)"
EH37,All postcodes,434,5902790.452289261,13600.899659652676,11743.800742809664,"(55.8751985, -2.8307479)"
EH39,All postcodes,4237,61174724.96162527,14438.216889692065,11835.901132233568,"(56.0548156, -2.749596)"
EH4,All postcodes,23949,298338363.0808954,12457.236756478158,10145.058113338597,"(55.9552081, -3.2164889)"
EH40,All postcodes,894,11591420.180680888,12965.794385549092,11401.427556036044,"(55.989015, -2.6591906)"
EH41,All postcodes,5022,57560367.829806015,11461.64233966667,10105.01446576662,"(55.9586797, -2.7912076)"
EH42,All postcodes,4627,50673098.061201066,10951.60969552649,9417.264818652917,"(56.0008946, -2.5151721)"
EH43,All postcodes,387,4356395.721139378,11256.836488732242,8979.787968886087,"(55.6235084, -3.0163777)"
EH44,All postcodes,1512,17492130.202860616,11568.869181786122,9858.74603317636,"(55.5866821, -3.1173546)"
EH45,All postcodes,4499,59505413.16180557,13226.364339143269,11260.273698330418,"(55.6553706, -3.1967851)"
EH47,All postcodes,12658,150905771.4665482,11921.770537726989,10865.843769710937,"(55.8748083, -3.61531)"
EH48,All postcodes,16977,203414572.24589497,11981.773708305056,10756.72483006188,"(55.9047403, -3.6428604)"
EH49,All postcodes,5938,78200478.46912037,13169.49788971377,11840.406042585317,"(55.9731206, -3.5971632)"
EH5,All postcodes,10531,99949230.63254654,9490.953435812984,7443.11299316428,"(55.9720653, -3.2024)"
EH51,All postcodes,6924,79430260.34056158,11471.730262934949,10370.303630957336,"(56.007399, -3.5744508)"
EH52,All postcodes,9382,105730087.75644816,11269.461496104044,9934.328417975756,"(55.9596436, -3.4592485)"
