Lower tier local authorities Code,Accommodation type (5 categories),Observation
E06000025,Whole house or bungalow: Detached,31401
E06000025,Whole house or bungalow: Semi-detached,40784
E06000025,Whole house or bungalow: Terraced,30133
E06000025,"Flat, maisonette or apartment",14998
E06000025,A caravan or other mobile or temporary structure,785
E06000026,Whole house or bungalow: Detached,13017
E06000026,Whole house or bungalow: Semi-detached,34537
E06000026,Whole house or bungalow: Terraced,37592
E06000026,"Flat, maisonette or apartment",29082
E06000026,A caravan or other mobile or temporary structure,330
E06000027,Whole house or bungalow: Detached,14125
E06000027,Whole house or bungalow: Semi-detached,15617
E06000027,Whole house or bungalow: Terraced,14226
E06000027,"Flat, maisonette or apartment",18796
E06000027,A caravan or other mobile or temporary structure,230
E06000030,Whole house or bungalow: Detached,21354
E06000030,Whole house or bungalow: Semi-detached,29458
E06000030,Whole house or bungalow: Terraced,27788
E06000030,"Flat, maisonette or apartment",17045
E06000030,A caravan or other mobile or temporary structure,217
E06000031,Whole house or bungalow: Detached,23554
E06000031,Whole house or bungalow: Semi-detached,27721
E06000031,Whole house or bungalow: Terraced,18495
E06000031,"Flat, maisonette or apartment",14227
E06000031,A caravan or other mobile or temporary structure,536
E06000032,Whole house or bungalow: Detached,10158
E06000032,Whole house or bungalow: Semi-detached,31781
E06000032,Whole house or bungalow: Terraced,17356
E06000032,"Flat, maisonette or apartment",19517
E06000032,A caravan or other mobile or temporary structure,127
E06000033,Whole house or bungalow: Detached,12347
E06000033,Whole house or bungalow: Semi-detached,24276
E06000033,Whole house or bungalow: Terraced,13335
E06000033,"Flat, maisonette or apartment",28295
E06000033,A caravan or other mobile or temporary structure,91
E06000034,Whole house or bungalow: Detached,8295
E06000034,Whole house or bungalow: Semi-detached,22883
E06000034,Whole house or bungalow: Terraced,19405
E06000034,"Flat, maisonette or apartment",15582
E06000034,A caravan or other mobile or temporary structure,212
E06000035,Whole house or bungalow: Detached,16046
E06000035,Whole house or bungalow: Semi-detached,34408
E06000035,Whole house or bungalow: Terraced,41983
E06000035,"Flat, maisonette or apartment",18347
E06000035,A caravan or other mobile or temporary structure,674
E06000036,Whole house or bungalow: Detached,13532
E06000036,Whole house or bungalow: Semi-detached,10917
E06000036,Whole house or bungalow: Terraced,14477
E06000036,"Flat, maisonette or apartment",10480
E06000036,A caravan or other mobile or temporary structure,842
E06000037,Whole house or bungalow: Detached,22031
E06000037,Whole house or bungalow: Semi-detached,21690
E06000037,Whole house or bungalow: Terraced,11369
E06000037,"Flat, maisonette or apartment",10851
E06000037,A caravan or other mobile or temporary structure,717
E06000038,Whole house or bungalow: Detached,8291
E06000038,Whole house or bungalow: Semi-detached,17548
E06000038,Whole house or bungalow: Terraced,19083
E06000038,"Flat, maisonette or apartment",22625
E06000038,A caravan or other mobile or temporary structure,135
E06000039,Whole house or bungalow: Detached,5453
E06000039,Whole house or bungalow: Semi-detached,15513
E06000039,Whole house or bungalow: Terraced,13775
E06000039,"Flat, maisonette or apartment",17610
E06000039,A caravan or other mobile or temporary structure,72
E06000040,Whole house or bungalow: Detached,18704
E06000040,Whole house or bungalow: Semi-detached,15929
E06000040,Whole house or bungalow: Terraced,10908
E06000040,"Flat, maisonette or apartment",14770
E06000040,A caravan or other mobile or temporary structure,623
E06000041,Whole house or bungalow: Detached,29512
E06000041,Whole house or bungalow: Semi-detached,20178
E06000041,Whole house or bungalow: Terraced,9938
E06000041,"Flat, maisonette or apartment",8862
E06000041,A caravan or other mobile or temporary structure,674
E06000042,Whole house or bungalow: Detached,31671
E06000042,Whole house or bungalow: Semi-detached,33130
E06000042,Whole house or bungalow: Terraced,27738
E06000042,"Flat, maisonette or apartment",20485
E06000042,A caravan or other mobile or temporary structure,78
E06000043,Whole house or bungalow: Detached,12541
E06000043,Whole house or bungalow: Semi-detached,23918
E06000043,Whole house or bungalow: Terraced,24095
E06000043,"Flat, maisonette or apartment",60754
E06000043,A caravan or other mobile or temporary structure,94
E06000044,Whole house or bungalow: Detached,3864
E06000044,Whole house or bungalow: Semi-detached,14218
E06000044,Whole house or bungalow: Terraced,37361
E06000044,"Flat, maisonette or apartment",30565
E06000044,A caravan or other mobile or temporary structure,147
E06000045,Whole house or bungalow: Detached,13291
E06000045,Whole house or bungalow: Semi-detached,26344
E06000045,Whole house or bungalow: Terraced,20089
E06000045,"Flat, maisonette or apartment",42476
E06000045,A caravan or other mobile or temporary structure,93
E06000046,Whole house or bungalow: Detached,22024
