Local authority code,Total annual income (£)
E06000049,49100
E06000049,49000
E06000049,43600
E06000049,46200
E06000049,36900
E06000049,39800
E06000049,47200
E06000049,50700
E06000049,45000
E06000049,47900
E06000049,39400
E06000049,44500
E06000049,47200
E06000049,37600
E06000049,32500
E06000049,38100
E06000049,38300
E06000049,36400
E06000049,41700
E06000049,49600
E06000049,48800
E06000049,38200
E06000049,42200
E06000049,40100
E06000049,53100
E06000049,39500
E06000049,45600
E06000049,52900
E06000049,41600
E06000049,45700
E06000050,41900
E06000050,46800
E06000050,50800
E06000050,54900
E06000050,37700
E06000050,44300
E06000050,35300
E06000050,32700
E06000050,53400
E06000050,35500
E06000050,34700
E06000050,40100
E06000050,39700
E06000050,48600
E06000050,49800
E06000050,47100
E06000050,46300
E06000050,42300
E06000050,39900
E06000050,40300
E06000050,39700
E06000050,45600
E06000050,55700
E06000050,51200
E06000050,49800
E06000050,48000
E06000050,40900
E06000050,53300
E06000050,34300
E06000050,51900
E06000050,33200
E06000050,47600
E06000050,40600
E06000050,37300
E06000050,39500
E06000050,47700
E06000050,44100
E06000050,36300
E06000050,54800
E06000050,34100
E06000050,56100
E06000050,40600
E06000050,52900
E06000050,40900
E06000050,48000
E06000050,47800
E06000050,44200
E06000006,50500
E06000006,55600
E06000006,34400
E06000006,31500
E06000006,41000
E06000006,33700
E06000006,29800
E06000006,39500
E06000006,58500
E06000006,33000
E06000006,39200
E06000006,37000
E06000006,32100
E06000006,33800
E06000006,31900
E06000006,48500
E06000007,54400
E06000007,45600
E06000007,42700
E06000007,42900
E06000007,39600
E06000007,35400
E06000007,43500
E06000007,34900
E06000007,59700
E06000007,52400
E06000007,35700
E06000007,44300
E06000007,36700
E06000007,45900
E06000007,49300
E06000007,43100
E06000007,38700
E06000007,38400
E06000007,44300
E06000007,37200
E06000007,54300
E06000007,51600
E06000007,49200
E06000007,60600
E06000007,64400
E07000026,34200
E07000026,43200
E07000026,36800
E07000026,36800
E07000026,30700
E07000026,44900
E07000026,45800
E07000026,35100
E07000026,28900
E07000026,33500
E07000026,42000
E07000026,43100
E07000027,40300
E07000027,38600
E07000027,48400
E07000027,28800
E07000027,39500
E07000027,42300
E07000027,29000
E07000027,26800
E07000027,34000
E07000027,33400
E07000028,38600
E07000028,38200
E07000028,41400
E07000028,47200
E07000028,43700
E07000028,37200
E07000028,47300
E07000028,34400
E07000028,32300
E07000028,35500
E07000028,33200
E07000028,31800
E07000028,45000
E07000029,36000
E07000029,33800
E07000029,43400
E07000029,37600
E07000029,34200
E07000029,36600
E07000029,46100
E07000029,35400
E07000030,40300
E07000030,47300
E07000030,36900
E07000030,42800
E07000030,46200
E07000030,39700
E07000030,37900
E07000031,44200
E07000031,44300
E07000031,41400
E07000031,39100
E07000031,44900
E07000031,44400
E07000031,47700
E07000031,45800
E07000031,44200
E07000031,48600
E07000031,44700
E07000031,39200
E07000031,44500
E07000031,46300
E08000001,54700
E08000001,48200
E08000001,43200
E08000001,35700
E08000001,35300
E08000001,44000
E08000001,45000
E08000001,42100
E08000001,43600
E08000001,34200
E08000001,29800
E08000001,41300
E08000001,32000
E08000001,44500
E08000001,32500
E08000001,26400
E08000001,33900
E08000001,43300
E08000001,36300
E08000001,50500
E08000001,30400
E08000001,33000
E08000001,33800
E08000001,36600
E08000001,29200
E08000001,33800
E08000001,34200
E08000001,47000
E08000001,38400
E08000001,45600
E08000001,36700
E08000001,30900
E08000001,34900
E08000001,38700
E08000001,46800
E08000002,43700
E08000002,51300
E08000002,52100
E08000002,40700
E08000002,44300
E08000002,44000
E08000002,34700
E08000002,32700
E08000002,38600
E08000002,50900
E08000002,35400
E08000002,47200
E08000002,39300
E08000002,39000
E08000002,37100
E08000002,31000
E08000002,48300
E08000002,41400
E08000002,52500
E08000002,39100
E08000002,38200
E08000002,46100
E08000002,41400
E08000002,46500
E08000002,45700
E08000002,44700
E08000003,33700
E08000003,36700
E08000003,35200
E08000003,38100
E08000003,36400
E08000003,33800
E08000003,34300
E08000003,33700
E08000003,29500
E08000003,31400
E08000003,29600
E08000003,42000
E08000003,33400
E08000003,33200
E08000003,33400
E08000003,31400
E08000003,32100
E08000003,34100
E08000003,29800
E08000003,33000
E08000003,29300
E08000003,33800
E08000003,34000
E08000003,31800
E08000003,40700
E08000003,53700
E08000003,39100
E08000003,37100
E08000003,33900
E08000003,57400
E08000003,41300
E08000003,37500
E08000003,36400
E08000003,55600
E08000003,52200
E08000003,55000
E08000003,47200
E08000003,33600
E08000003,47400
E08000003,67100
E08000003,38400
E08000003,56000
E08000003,45700
E08000003,39800
E08000003,38400
E08000003,35900
E08000003,32600
E08000003,36000
E08000003,37300
E08000003,35500
E08000003,46000
E08000003,50800
E08000003,43000
E08000003,45300
E08000003,40100
E08000003,43000
E08000003,53100
E08000004,37400
E08000004,36900
E08000004,41900
E08000004,43000
E08000004,41100
E08000004,48000
E08000004,41200
E08000004,37300
E08000004,36000
E08000004,39200
E08000004,32600
E08000004,32600
E08000004,51400
E08000004,27900
E08000004,49500
E08000004,30900
E08000004,35200
E08000004,38400
E08000004,35200
E08000004,46900
E08000004,46100
E08000004,32800
E08000004,32200
E08000004,34100
E08000004,31200
E08000004,36100
E08000004,33400
E08000004,35900
E08000004,35000
E08000004,34900
E08000004,40200
E08000004,36200
E08000004,39700
E08000005,38400
E08000005,45300
E08000005,46600
E08000005,32100
E08000005,39800
E08000005,49100
E08000005,47300
E08000005,31800
E08000005,35800
E08000005,29400
E08000005,49800
E08000005,34900
E08000005,37500
E08000005,43200
E08000005,32700
E08000005,38700
E08000005,37400
E08000005,31900
E08000005,36000
E08000005,41500
E08000005,37900
E08000005,35000
E08000005,36000
E08000005,36300
E08000005,45800
E08000006,30700
E08000006,31300
E08000006,41500
E08000006,37400
E08000006,39600
E08000006,35800
E08000006,45100
E08000006,39600
E08000006,38800
E08000006,36600
E08000006,39200
E08000006,39600
E08000006,55600
E08000006,55400
E08000006,47100
E08000006,32300
E08000006,31200
E08000006,44200
E08000006,42200
E08000006,44100
E08000006,41100
E08000006,42100
E08000006,35800
E08000006,27900
E08000006,35200
E08000006,33900
E08000006,37900
E08000006,45000
E08000006,37200
E08000006,40100
E08000007,39200
E08000007,35900
E08000007,42900
E08000007,30300
E08000007,40400
E08000007,56400
E08000007,36900
E08000007,58100
E08000007,40300
E08000007,43400
E08000007,49600
E08000007,36300
E08000007,54300
E08000007,30600
E08000007,41600
E08000007,35600
E08000007,58400
E08000007,42300
E08000007,37200
E08000007,47500
E08000007,46000
E08000007,42000
E08000007,42700
