outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh
B30,142751283.6855786,11651.263768003479,10423.961510915315
B31,247829495.10132682,10729.943070586085,9772.62
B32,167678100.94219238,10663.15427295341,9663.479365378786
B33,143599699.64968562,10882.88743082119,9561.93
B34,83627033.08702125,10665.353027295147,9478.846435368063
B35,37357785.011603974,9133.932765673344,8464.635791503119
B36,151600796.98873562,11480.56016575052,10238.499368935596
B37,138653080.72704253,9200.602569810386,8112.855938941492
B38,89302200.62303601,10671.869099311187,9420.982247069458
B4,1709110.569276657,15124.87229448369,6975.180074633334
B40,163427.76623619153,23346.82374802736,28125.87961512997
B42,117135161.5,12291.202678260544,11258.788432702204
B43,147839537.24501932,12374.615991045393,11346.326563716628
B44,164112843.2336922,11011.328719383535,10203.385203388192
B45,160982596.01871273,11947.64702528668,10179.151483502372
B46,60235361.253093995,12257.91,10815.657554788502
B47,55154697.89098942,13403.328770592812,12338.425381904333
B48,28501929.15,13318.658479972897,11180.647050212758
B49,39341474.92717277,10564.305834364332,9050.057963102172
B5,36920961.211706564,11094.038825632982,7882.882882882804
B50,27861969.46223798,9772.700618112234,8758.546816028964
B6,82375405.71570544,14028.51,12073.013879185271
B60,133882503.32344139,11681.572578609317,10270.151574496653
B61,111057223.52431309,10824.290791843381,9556.987817854964
B62,130229907.50325204,13109.51353968714,11819.189133037347
B63,169748498.14515942,11056.373226415646,10102.988363859607
B64,76934042.04619206,10272.939250392852,8863.606689692979
B65,104906774.9015104,10720.087359647498,9740.190357218216
B66,99351022.34496261,12644.905478549397,10888.358714446338
B67,147127495.7583569,12732.799286746595,11646.033385161116
B68,158406033.44569156,12597.903089366277,11516.477898928299
B69,131294277.87182166,11338.020541608088,10162.83081500317
B7,32588743.86,9999.614561303068,8324.530063660046
B70,136784805.07233033,11478.124114486056,9698.43
B71,137194939.58255497,10910.134360441747,9883.4
B72,62128238.21680184,16414.329779868385,14734.10169062232
B73,139892971.4641443,16057.50361158681,14718.275587841683
B74,218225534.5571243,17641.51451553147,15097.112923202754
B75,152950495.04941505,13924.844778715864,12500.642935425087
B76,105410932.49933666,12675.677308722543,11587.180065439205
B77,235294951.2620209,10233.329763929061,9393.781132908527
B78,111235370.14542946,10746.340464247847,9673.705325881614
B79,100012073.7760645,10855.53823684625,9537.205189378143
B8,165318657.40214735,14001.75,12710.338797297927
B80,32766688.95709578,11148.924449505199,9763.716285455763
B9,95813776.24562535,13121.579874777506,11811.781012509913
B90,254928511.99768975,12290.449908287039,11161.358987448946
B91,214907695.10561806,16288.29,14424.998120646247
B92,184009052.02997437,12621.51396048936,11269.174312651337
B93,123438185.25209016,16194.986257162183,14568.91674283119
B94,32170639.43,18268.392635628792,15836.983228287747
B95,19424131.792673834,12762.24165090265,10706.108288118498
B96,26100704.84334568,14154.39525127206,12377.990638859845
B97,153422872.0977557,10692.234448237208,9593.585680543683
B98,199868028.76955518,9832.154111056434,8696.443479052476
BA1,210409708.6165419,12364.677006319675,10035.939173698473
BA10,12525313.697752066,12438.245975920621,10320.24907148811
BA11,128419597.09871794,10003.084366623925,8584.857494668027
BA12,91780389.25568016,10163.941224327813,8829.167141920345
BA13,77571623.98519906,9786.982587080376,8405.662171766518
BA14,194242839.18544695,9983.185444079094,8781.571913388605
BA15,66127268.37746521,11983.919604469955,10414.852188885323
BA16,48744876.86015417,9011.809365900197,7779.479632799928
BA2,322946482.96435934,11732.842251202883,9787.668558723823
BA20,51394422.82648727,10397.415097407904,8704.355003590668
BA21,120007846.74478416,8514.214029427752,7593.276671573245
BA22,25630653.75,9521.045226236849,8139.872460982556
BA3,141459785.56069282,10621.698870753327,9131.953829675667
BA4,54386180.891245246,10043.616046398014,8678.459520876948
BA5,76230258.98582967,10237.746304838794,8516.783293790992
BA6,43585432.723114714,9768.14,8092.320629485641
BA7,16862451.850478385,10133.685006297106,8230.971759217324
BA9,24464172.297308285,9793.503721900835,8340.090698861783
BB1,323203485.06151104,13052.398233644739,11615.865812899334
BB10,192352608.37723002,11583.319786657234,10213.161793293788
BB11,119648141.50047272,11399.403725273696,9767.249568115754
BB12,172303817.43765032,10955.924043851359,9607.292092193542
BB18,81470101.05700509,11078.338463014019,9987.744796460433
BB2,291316120.0401357,11760.36978887149,10108.328124463183
BB3,168607852.28458437,11186.82671739546,10036.470304508817
BB4,226401547.38531417,12539.548456677605,10927.31040117192
BB5,298103796.33285034,11099.25520637614,9777.709544418718
BB6,81294907.40282762,12555.198054490753,10760.954626217126
BB7,157497558.32532194,11166.079994705562,9560.043114691971
BB8,119049909.11185925,11061.034015781775,9402.55
BB9,234592503.8322185,12532.989840379234,10984.895092507895
BD1,15402498.182374243,21693.65941179471,16464.864751569392
BD10,128537203.11720198,11029.449383662432,9980.555022087232
BD11,63446826.231170096,12317.38035938072,11054.830036490608
BD12,86764847.22,11513.38206201526,10379.657192240325
BD13,148863638.34842327,12714.69408510619,11458.93348697112
BD14,43255716.76483007,12722.269636714725,11370.41082517074
BD15,84533265.02118427,12765.51872865966,11401.41876320416
BD16,140317638.5488545,12988.765949167315,11201.867678124028
BD17,98743420.03801666,12863.916107089195,11313.396229432472
BD18,137220137.26441517,12767.039194679492,10938.300204854193
BD19,119539785.98141201,11615.954327219124,10131.830112144422
BD2,156011295.6860065,12310.525975381242,10828.772165672217
BD20,189823890.86418855,12223.832240594278,10611.71659944675
BD21,117605418.3,12437.121222410851,10556.202387810052
BD22,155380465.74006912,11907.46154801664,10536.697394533907
BD23,143099823.5561088,11987.921886245187,10304.637987326741
BD24,24301476.643610664,11959.388112013123,10011.056769927254
BD3,137413435.67749545,14315.390736274137,12750.264067602071
BD4,152480284.62646303,11345.259272802308,9850.021605533284
BD5,126891848.32963891,13165.786296912109,11397.175252620687
BD6,152455838.46441138,12051.844937898133,10994.814672558614
BD7,160642344.22347787,14841.310441932545,12956.816945136305
BD8,134856891.33993563,14231.415295476534,12292.646917611342
BD9,138310710.23799264,17417.291303109512,15326.923692464845
BH1,66861196.38598687,8744.598010199696,6494.607605718551
BH10,87698031.22515017,10282.33453220192,9439.867618715934
BH11,79715435.64975137,9103.053060380424,8201.755078828983
BH12,144762096.29001996,10051.527308014161,9041.822652250758
BH13,65278079.02979667,14287.169846749106,10629.600960475764
BH14,133750228.24290319,12572.873495290767,10669.094183440626
BH15,136057733.09631357,9417.06,8213.6
BH16,63044419.495181955,9904.857736870692,8586.814002716776
BH17,84000804.38014102,8945.772564445264,8090.186723957411
BH18,69009487.89183606,13969.531961910134,12704.969827176734
BH19,59223998.03755299,9810.170289473743,8259.020252123977
BH2,26875551.915957354,9070.385391818209,6435.420681811464
BH20,76656067.02378076,10459.280532648487,9064.682000569619
BH21,181142760.77528676,11747.260750667105,10421.274209347868
BH22,147122466.68422073,12268.384480005065,10901.610533635965
BH23,249262769.56003037,10633.62354677831,9429.994312973535
BH24,131215164.5112841,13429.041501513058,11245.69523869546
BH25,121260683.16290087,10832.649916285587,9629.44
BH3,33279968.095459398,16077.279273168791,13615.782281760185
BH31,65791320.21,11669.265733946151,10684.89147262285
BH4,44230677.14485485,9957.38,7140.374711699735
BH5,41733820.36849191,9102.250898253416,6771.113076996055
BH6,105943493.94001032,10676.558897511874,9438.880288140315
BH7,53804439.97921762,11630.877643583575,10326.984139522274
BH8,111469796.24826047,10377.005794848303,8463.4
BH9,128989621.06232275,10737.502793833577,9849.61
BL0,97224119.76122718,12667.637753905821,11394.87840771104
BL1,320681786.2,12281.01203188515,10304.214510353258
BL2,220058798.13640344,10885.916306525029,9751.007732095364
BL3,291714244.7019783,11688.205974115648,10265.61030245562
BL4,145827022.11512652,10138.846006752869,9074.776233746823
BL5,133357412.61643535,11140.970143394767,10062.063500657625
BL6,168385882.44923347,12115.835548225174,10332.268590748527
BL7,92065572.19,14799.15965119148,13056.467449883878
BL8,191755380.26377398,12548.614636723642,11229.51
BL9,233047698.00467718,11254.537016693735,9786.444465221972
BN1,341865363.4453876,10794.61204437599,9024.82
BN10,80902627.28516784,9811.135979283028,8796.221802190354
BN11,125213048.5184431,9727.55,7567.984912698572
BN12,109121616.69651641,11129.180693168426,9874.896045852845
BN13,113653515.1071949,9431.826979850199,8339.266447691924
BN14,140223313.46198472,11514.478031038325,10049.399409279995
BN15,105570062.53839354,9280.068788536704,8347.243744303027
BN16,152571584.50346327,11387.63878963004,9663.5
BN17,111578925.57480785,8823.26,7595.383538450561
BN18,64721554.41752676,11209.136546159812,9413.708429811228
BN2,371512852.57145876,9927.658932485136,8354.638771297072
BN20,112876114.63776103,12246.51346834773,10473.914535265252
BN21,107783250.81356029,10571.130915413916,8347.243744303514
BN22,127106228.48282391,9130.538645415121,7941.3987790758565
BN23,100096856.9058382,8558.212799746769,7809.27
BN24,47647267.64535547,10304.339888701443,9106.084084694807
BN25,113278128.33173841,10918.373815107318,9609.65
BN26,50263814.42,9643.863088863794,8522.245688769044
BN27,110059019.56121384,9349.220146212525,8232.570105478486
BN3,349613843.7838635,10617.524410345708,8518.76
BN41,78128806.25767556,9136.803444939254,8212.63
BN42,43646717.93211811,10289.183859528079,9283.080353314623
BN43,98683949.86120181,10151.625332908323,8789.983706370356
BN44,47201503.13256865,11910.54835542989,10363.505463451138
BN45,645671.9993819259,14036.347812650563,11359.171797065545
BN5,33347694.292422928,11986.949781604215,10059.86961108728
BN6,95684558.99636811,12871.207828405719,10896.488593463764
BN7,82018300.13139707,11001.784055184047,8969.47
BN8,38478863.49,11909.273749764625,10077.319947429194
BN9,52511312.64,9143.533457164966,8032.140528057826
BR1,305158531.03540033,13065.530529003268,10884.243179412195
BR2,272939020.83016866,13941.82054605755,12090.59
BR3,273514250.3957991,13267.729827591516,11134.31174876589
BR4,116708282.52701274,16102.136110239064,15290.483284573498
BR5,232741802.43824348,12212.929760100933,10793.282318524569
BR6,281212547.1640242,15009.20939176047,13398.866825014475
BR7,124658670.87322333,16850.32047488826,14308.278638992499
BR8,100183621.90544443,11000.73,9943.700229148571
BS1,25387525.50083822,9627.427190306493,5620.125937271764
BS10,110841829.25146832,9434.150076727237,8436.195453043963
BS11,67374546.78179449,9018.143057394524,7813.516733238344
BS12,2841836.6582704224,13662.676241684723,9377.72
BS13,109034384.81654035,8752.860625876241,7955.671682134196
BS14,115304550.95471576,9526.152590442478,8658.94
BS15,196645186.2864958,9627.671299216441,8657.436605900524
BS16,336666858.16296786,10192.142715032933,8999.809792672122
BS17,4467187.692416062,12513.130791081405,10410.347278533534
BS18,6587367.793649986,13638.442636956494,11546.585778498673
BS19,4506060.891850313,12948.450838650326,11383.908460221694
BS2,50558215.590252206,9091.57,6911.5335715934125
BS20,136727002.83686185,10639.405714486176,9538.396852568032
BS21,97753828.11457492,10346.510173007508,8774.564275057632
BS22,145698089.65447572,9102.148413473838,8199.94
BS23,146338971.91676626,9867.766144084037,7894.069137127224
BS24,94166791.26811318,9038.854988300363,7758.957263416253
BS25,33868202.86952414,13132.300453479698,11471.503939293525
BS26,11854798.695659833,12158.767892984444,10459.400746814144
BS27,33570676.21219235,11295.651484586928,9741.12
BS28,11378750.909692712,14082.61251199593,12055.140102711835
BS29,14755095.021907354,10638.136281115612,9237.068404560916
BS3,140671193.08411503,9005.838225615558,8031.754612524319
BS30,111462191.4069897,9748.311300243982,8752.540268894014
BS31,97905300.09519328,9985.242233064078,8756.544633651212
BS32,85401776.63086286,9593.55,8480.243465378486
BS34,135250396.26652613,8968.86,8044.268252398422
BS35,91783203.94,10401.541697144026,9522.38
BS36,70197845.42095648,11371.755292557344,10342.27307765345
BS37,138736142.28148344,9113.587484824506,8328.08
BS39,53031101.09408326,10631.736386143395,9411.758817111315
BS4,189368049.33860058,9421.76,8373.126708111151
BS40,49438811.61408238,13664.68,11787.34820954791
BS41,29158577.84,12230.947081671518,10641.098797689874
BS48,95168419.59719202,11099.652390621883,10039.442992861681
BS49,52585996.059990875,10250.681493175609,9209.037851258583
BS5,193768753.49700853,9220.497430264502,7864.572383899027
BS6,146801393.15786386,11534.642347596751,9114.935279455513
BS7,164791548.48100576,10159.148540842472,9010.821795758979
BS8,112098867.00985527,11680.615505872176,8274.02
BS9,163942919.49648586,14033.80581206008,12303.41071768221
CA1,123614994.58220024,10523.111822780305,9199.305155724343
CA10,13661133.171177078,12649.197380719517,11081.093051064914
CA11,88331243.14499557,11388.762654073695,9947.296160147833
CA12,44796499.64585932,13404.099235744861,10973.81539385101
CA13,73914163.80925117,11887.128306409002,10467.935780471516
CA14,177326279.4706016,10710.048889931846,9588.384766560728
CA15,79442558.49870388,10879.561558299627,9591.508333703376
CA16,17156636.588831026,11279.839966358333,9808.524144854395
CA17,12312003.814325683,12474.16799830363,10381.327782452716
CA18,1425554.5484006011,13322.939704678516,11209.03888076926
CA19,2367752.4333708608,13453.14,12145.011834989285
CA2,188438018.98142248,9762.62,8783.973308532875
CA20,16316855.350243466,12059.760051916826,10643.124634001299
CA21,3874061.7151469947,14036.455489663023,12640.555875420108
CA22,44205191.35944169,11299.895541779573,10180.059150341156
CA23,6308806.46,11408.329954104214,10622.456461510554
CA24,5558848.925144566,12435.90363567017,11754.284955046769
CA25,32495442.345978644,11094.38113553385,9936.02
CA26,19336892.01343229,11783.602689477326,10556.586511116586
CA27,10055049.786601009,14023.779339750361,12331.025387405316
CA28,143372613.7741429,11268.774170725685,10214.926842000948
CA3,83736903.47711512,12231.507957510243,10748.43389383502
CA4,42189532.85580999,14633.899707183486,12877.255660372726
CA5,27288734.355609395,13529.367553599104,11627.323324032383
CA6,9103720.539072795,12626.51947166823,10321.29166236074
CA7,66854329.98496197,11213.406572452528,9897.102026956285
CA8,33231638.04367106,12573.453667677284,10900.984690789184
CA9,8016193.539315796,13917.002672423258,12172.569398310054
CB1,215914278.07344726,11386.082269337512,9674.738960245008
CB10,57711011.113032594,11980.695684665268,10031.134559361148
CB11,71757157.13832138,12912.930922857906,11129.35358247744
CB2,92905362.13540953,11891.125321311856,8642.593278540418
CB21,40941404.04348424,12120.013038331628,10645.316301093364
CB22,115794482.95826018,12794.970492625434,10915.61633412951
CB23,114619537.41729411,10780.618643462576,9531.079498245097
CB24,171654073.67603135,11458.118528538238,10200.322357816505
CB25,69069718.76550515,11473.375210216802,9983.581775770084
CB3,71439822.61882327,14964.35329258971,12034.358137533034
CB4,182561138.84472615,10732.577239548862,9014.005546153407
CB5,55095017.03360159,10977.289705838133,9176.185565978287
CB6,135248116.95917553,10839.794578758958,9773.848972361402
CB7,115545496.96878512,10562.711122477844,9015.01
CB8,102067238.46038166,10890.657112716779,9148.154451443288
CB9,129107493.96016763,10128.461124983733,9161.168897478705
CF1,5628224.623733449,13931.24906864715,9013.190887704493
CF10,30962605.70759917,10029.99860952354,7189.089662001874
CF11,144811063.3859463,9978.71,8066.72
CF14,360030803.42118657,11446.992350921613,10251.420472799491
CF15,96806626.05320792,12455.819101030354,11067.284305071613
CF2,7107565.608579706,11905.470031121786,8083.525480549235
CF23,212548625.4267498,11851.052435280168,10190.638370213286
CF24,196374671.8322148,9597.510963893006,7831.502128362609
CF3,179688292.74249372,9606.431047446871,8466.996306625424
CF31,200314981.67545602,10032.804852021238,8943.369858595548
CF32,146486630.4,10802.848849248525,9642.12
CF33,62080415.86169258,9815.085511730053,8779.307597959669
CF34,101818037.95004335,11445.372971003075,10631.432154819371
CF35,78757781.31615503,10346.529337382426,8968.078030383576
CF36,86796676.59692733,11659.951181747358,10410.54109907795
CF37,179329324.81262773,10677.542412183848,9465.206446657856
CF38,108110010.00554237,10847.883805492913,9922.8
CF39,143119531.6146029,11189.080729778976,10448.591683625955
CF4,4007106.748906266,16836.582978597755,12370.887448347608
CF40,101672277.20862739,11175.233810576763,10386.327090730327
CF41,55204392.60094086,11282.320171866108,10430.801799940378
CF42,71216437.99866074,11342.003185007285,10441.673395523838
CF43,62415134.49990542,11282.562274024842,10520.100540787493
CF44,208387110.9875318,11335.859815456226,10354.700630845771
CF45,99258176.38432403,11171.432344887342,10202.498292665448
CF46,74355714.59803063,11576.477440141776,10579.050830639719
CF47,113658022.7168155,11590.661096962625,10746.572235329993
CF48,142190029.66553673,11877.874000963724,10873.57223829549
CF5,294571549.4648001,10027.967641354897,8778.319271087763
CF61,40550966.94577028,10224.651272256751,9008.105268672056
CF62,175403690.39991713,9374.86,8252.035212109924
CF63,84561021.24,8668.48,7671.393175207929
CF64,182082765.31227925,11334.833498025351,9699.934078600927
CF71,40762559.13083818,14124.240863076291,12293.797952383935
CF72,126816484.24050708,10734.42,9628.774543863205
CF81,84192996.35351515,11501.775458130485,10520.245381795923
CF82,98575335.88898523,11410.503054634244,10365.572226434662
CF83,250520600.18519685,10574.951464128191,9584.79
CH1,128425932.49517696,10166.71409873155,8366.02
CH2,151641553.9789032,10631.813361768436,9441.920670937927
CH3,154777650.13957685,11610.355572693485,10203.810433164484
CH4,158649208.69915515,10461.537006208715,9049.163545444979
CH41,80145903.09177849,8715.300466700575,7073.565673619036
CH42,139362859.34564045,9913.420070112423,8260.455017983928
CH43,176859735.85418284,10724.621663585158,9031.445178882772
CH44,122750543.37926815,9517.759430818653,8406.380580668221
CH45,152145165.86195174,11647.922665897393,10310.169362928962
CH46,104543307.99525182,9252.44,8475.480261053435
CH47,63033769.68630735,13402.885325602243,11713.809005851197
CH48,94853375.22985995,13944.924320767414,11758.597099110388
CH49,125496866.12285815,9773.14,8779.450632199909
CH5,175212793.87740746,9941.715494632743,8907.138468908448
CH6,66665896.390852846,9190.225584622669,8201.515666002615
CH60,94069920.85134234,16080.32835065681,14421.273852120294
CH61,87678005.27472503,11645.371931826941,10807.219250022135
CH62,136859256.38001537,10124.22372984283,8948.759468254082
CH63,145185983.49979135,11801.819500877204,10883.998838465708
CH64,96927212.11219004,12094.735726502375,10475.492053805661
CH65,117193048.51305312,8684.182920567107,7761.628908500014
CH66,155651680.09301147,9789.413842327765,8929.564571142153
CH7,180198211.8,10386.662733745345,9462.607879816767
CH8,58750471.80589974,10008.598263356003,9027.850019333942
CM0,62116334.161172874,11131.959527091913,9886.974541740468
CM1,285133666.99934524,11075.302660685385,9944.037882053472
CM11,107436445.82931533,14806.566404260659,13134.810019081102
CM12,115274249.68183629,13746.035020490854,12479.508621942376
CM13,143717074.52745363,14307.324492528982,12159.178331285666
CM14,106136309.3765822,12441.250659545447,10357.781574398346
CM15,141417870.10776016,14945.875090653157,13266.193088154982
CM16,127373483.10178927,14015.568122996177,12196.538157355364
CM17,106951826.51908515,10481.362849773142,9289.192969749389
CM18,99320137.58461848,9691.660576172764,8828.799967963943
CM19,83837710.66,10640.653720369233,9152.158896373376
CM2,260249372.84633398,11313.714421872537,10119.232347905661
CM20,96735681.85468067,10119.853735189943,8842.815525233658
CM21,59261517.506174274,13018.78679836869,11326.572495469787
CM22,68258239.54868291,14117.526276873405,12076.404809339123
CM23,210964839.9686586,12532.812925126751,10870.065773009732
CM24,41611430.60792504,12636.328760378088,11120.343581375218
CM3,194469408.88022926,12402.385770422785,11090.810799986304
CM4,58043695.59588382,16466.296622945763,14281.289652208477
CM5,42385927.90890502,13358.313239491024,11649.931423880205
CM6,119534544.25025553,12708.329178211305,11148.374695912022
CM7,183802918.4897529,10590.776058182246,9443.482265314069
CM77,62511505.05282634,12517.321796721333,11193.92525703473
CM8,134081182.73566224,10261.838568472542,9056.05
CM9,108435006.81177953,10530.737769426001,9508.554495488499
CO1,67859630.27808298,9613.207292546109,8011.893201454921
CO10,182668788.1240847,10663.677065037053,9356.89
CO11,60276641.25821088,10802.265458460732,9775.851194826915
CO12,89172994.14078021,9662.259631680596,8684.639950344934
CO13,75311598.56025667,11767.437275040105,10274.404589094198
CO14,34098163.71534857,9923.8,8798.266075343137
CO15,199847802.6744104,10648.894478308222,9362.304011554103
CO16,93307641.85,10078.596009250647,8942.926648580971
CO2,134034579.17445125,9539.148756277222,8471.403257619115
CO3,158554767.94074243,12138.62868938466,10627.296298891322
CO4,187960550.5089421,10192.535681847085,9083.08
CO5,124956622.86236185,11904.031900768014,10589.754627634542
CO6,95816519.22275874,12622.384300192167,11198.430257587432
CO7,153828584.32873988,11644.858768261915,10332.469040633108
CO8,8216417.064773705,12679.655964156951,10505.160728408671
CO9,87627885.6,10814.252203363014,9624.683398573368
CR0,688066231.9,11756.79166046669,10193.004950036273
CR2,281165035.9749612,14556.822986019219,12714.813640383927
CR3,170969269.16224414,14503.67061098101,12181.83051036662
CR4,234044110.53747022,11262.408475890006,9896.833611545631
CR5,186476232.9483808,15292.458007903953,13542.458164065933
CR6,66015326.02912017,16499.706580634884,14227.50851077762
CR7,208649465.39559335,13001.586826744351,11638.184441218913
CR8,216605921.45759585,16572.75604113205,14234.987226356414
CR9,961586.8649826664,21854.246931424237,18535.25
CT1,124937179.95336635,10753.759679236216,8855.796403436938
CT10,130830961.88078353,11138.341723206499,9627.599850822677
CT11,120900471.13909723,9278.624032164023,7909.988173659054
CT12,75922692.26400162,9343.181425547824,8365.691242724224
CT13,44725092.19230031,11142.27508527661,9255.159815165782
CT14,157670943.01398596,9746.612042652281,8219.606998484767
CT15,49533022.64623638,11732.122843731971,10063.85825939421
CT16,82328689.10218844,9440.28,8109.257776679347
CT17,78971892.34,8851.366547728861,7757.920956955736
CT18,61905655.67857546,11323.514848833998,10259.800607472129
CT19,108205025.11120394,9383.84,8226.587133020084
CT2,119314665.24109907,11248.672126058176,9482.01
CT20,101009256.34468049,9587.059258227078,7603.118898993993
CT21,85211468.84329343,10938.571096700054,9332.44
CT3,71850760.43772702,10384.558525470013,8646
CT4,58194352.816949055,13127.532780723901,10871.060960506808
CT5,167730877.00745466,10876.783412713487,9603.667960984263
CT6,175448438.94520372,10438.388799690845,9196.825833678195
CT7,57015070.412343055,10631.189709554923,9406.229869790384
CT8,32110739.915583823,9058.04,7672.165018357408
CT9,182151200.64041933,9570.786078206143,8124.3780201550335
CV1,115672938.63256632,12292.554583694615,9584.188932016166
CV10,230538397.9272145,9976.130422225735,9222.661396571853
CV11,206580900.8,11531.813152176734,10258.281997412441
CV12,140834097.6081452,10475.609759606159,9578.212682873009
CV13,45222366.33895634,12565.258777148192,10780.543389238579
CV2,276321549.0328131,10419.757495863836,9226.606076387921
CV21,175078184.02072233,10881.179864557012,9434.83
CV22,188628919.76712763,11855.997471221095,10532.271401834456
CV23,102136469.16109875,11510.928565434324,9920.99
CV3,308205548.94536906,11076.569593723956,9903.183816225535
CV31,136795268.24308738,10500.097347489052,8887.345843866675
CV32,167746843.6961523,12583.215339895904,10691.521561086223
CV33,39437771.88669296,11115.493767388096,9499.62
CV34,159211601.02538973,10462.058156485065,9122.759122759106
CV35,78482029.08522089,11936.430279121048,10234.542843237869
CV36,32293073.85556898,10423.845660286952,9030.28
CV37,202229876.3190811,11594.420153599422,9757.286931198481
CV4,148026972.7075369,11155.84992897256,9288.933201979564
CV47,71552401.98,10320.554157703822,9000.106826193638
CV5,233220623.3474715,11830.803193195938,10585.684498727353
CV6,394216717.6922556,11040.938739455416,9850.759850758579
CV7,147354681.82838166,12940.60611472571,11182.181092362884
CV8,162290701.3664168,12882.25919720724,11432.87556330983
CV9,97030107.97417185,11137.523872150121,9905.66
CW1,179820036.3997501,9354.421078902882,8426.067654629607
CW10,65783738.347992845,10353.12218256104,9343.485301137463
CW11,120104433.13089396,10462.058635095293,9421.25
CW12,163342090.8504369,11375.58958495974,10081.62828406412
CW2,201470556.22865862,10776.131591177718,9587.200556070173
CW3,26436221.71080215,12411.371695212276,10951.663125575864
CW4,56929197.64027897,13009.41445161768,11686.739279158292
CW5,124962512.10027966,10818.32846509217,9516.731551979334
CW6,42030742.32636987,13321.946854633872,11790.588594294402
CW7,142604369.7639514,9617.884249271692,8686.921384590807
CW8,188009384.97506064,11256.698896842332,9894.72
CW9,157895459.38909885,10765.354836646817,9657.494130790288
DA1,247103830.44253886,10196.576316024546,8940.555179955334
DA10,46590275.67,8531.45,7524.585031002187
DA11,164688842.9590515,10199.346191803523,8782.006409760928
DA12,197817159.16078684,10739.26,9582.228976336444
DA13,69733209.09420875,14336.597264434364,12917.24
DA14,103740505.34477967,11803.448099303638,10029.456167746881
DA15,141351177.77583718,12823.29472701054,11728.620346490432
DA16,166924804.79123604,12319.173785331073,11501.765974041631
DA17,70264897.22047298,10949.80477177388,9819.054969556631
DA18,17732239.666458596,9230.73,7945.3874273817855
DA2,106173143.96300723,12135.460505544317,10717.498000691234
DA3,86228027.72384071,14080.34417436981,12838.960318932732
DA4,49271971.704033874,12878.194381608435,10897.485755540276
DA5,116305421.63168441,13992.47132238744,12757.193028642603
DA6,53962413.20599319,12937.524144328265,11416.508616477284
DA7,175803426.3225419,12635.002610503227,11866.72729411797
DA8,129643622.16589902,10365.684989677702,9377.312169566534
DA9,54774807.16432425,9753.35,8583.571156487515
DD1,39554270.66163097,9335.442686247574,6916.54
DD10,84610604.96755327,11691.39214696052,9839.725300578843
DD11,119432993.59098588,10743.275487180523,9200.028030554779
DD2,194153674.96732816,11305.093453320611,9596.460141551705
DD3,169935202.46643642,10461.41359680106,9094.412910073357
DD4,179551229.36477143,9811.542588238875,8494.26
DD5,191050375.58869094,14318.397331086782,12857.014145415724
DD6,57220408.866527975,14079.825016370072,12036.619915708747
DD7,63424671.119790144,12433.772028972779,10879.88127038406
DD8,124626779.66937105,12282.130646434518,10665.625531827058
DD9,46603262.54071784,12827.762879360815,10979.968165300628
DE1,66475000.68138316,9978.234866614104,7195.502314401536
DE11,208295065.53917247,10244.691399723219,9335.08
DE12,82187962.11656834,11419.752968815943,10329.379978941159
DE13,210016172.18603244,11837.899339723377,10448.576593756814
DE14,151870684.68417132,10838.615806749309,9040.566581245339
DE15,121700484.93882933,11275.871855724019,9925.104793692946
DE21,261813333.77267364,10531.086190124035,9600.29
DE22,237187469.77990296,11456.118130791294,10084.033613443826
DE23,291172309.89001876,12914.588392176827,11350.000993309548
DE24,242315527.8544559,9902.150621325483,8926.833144605162
DE3,97305810.74109317,11322.528594495367,10358.68248008299
DE4,184392054.8975512,12339.694498932691,10497.248544809774
DE45,56903343.059244215,15145.952371371897,12803.703041500847
DE5,115512587.74397182,11181.162302194543,10029.401831655785
DE55,271358266.9413832,11219.178357852697,10081.053698070618
DE56,204493474.1606564,11876.726342238146,10478.872400023947
DE6,74836334.74944778,11566.666885540615,9998.112720265892
DE65,110337604.65063864,11359.786332815675,10098.933190299787
DE7,243406638.31035388,10693.55233768359,9465.701174082576
DE72,110581635.41752945,12387.323335670377,10994.894411666988
DE73,92946142.29968111,11247.113056592583,9973.78
DE74,68486307.36458233,11599.98430971923,9902.258775852086
DE75,90566703.49432674,10964.491948465708,9968.313566560935
DG1,125419089.57799745,11846.51833172735,10472.414932277326
DG10,19947230.029958438,15296.955544446655,12780.430669429248
DG11,37050683.82865812,12458.199000893786,11130.017693049971
DG12,59555797.63188269,11092.53075654362,9810.69
DG13,12054817.904825268,11911.875400024968,10566.189194658178
DG16,17437690.996416308,11337.900517825949,10264.00865742888
DG2,85015193.40580726,10666.900050916845,9313.151334955952
DG4,22134912.696220007,11843.184963199576,10546.495680291286
DG5,21267690.972527675,11100.04748044242,9869.76
DG6,21791316.89483928,12647.311024282808,10733.699732708403
DG7,34227545.27,12848.17765554268,10746.213372576709
DG8,23520278.666099947,11860.957471558218,10239.160685146857
DG9,45453534.94233369,10325.655370816377,8860.658117347217
DH1,247214029.15901485,13135.708244368483,11675.549059840216
DH2,154983309.8740082,10772.454985334552,10000.442889409105
DH3,144855584.84219632,11599.582386466713,10407.901147082632
DH4,180255459.08445334,11079.007933893874,10192.853733310922
DH5,112666388.7275812,11081.576544465546,10103.783751861474
DH6,183675624.61939377,11076.807660076816,10064.415804264645
DH7,216196561.0965036,11362.619493167793,10323.260059743512
DH8,213894512.4022622,12164.155618872965,11089.45873993394
