outcode,gas_total_cons_kwh,gas_mean_cons_kwh,gas_median_cons_kwh,Latitude_Longitude
B35,37357785.011603974,9133.932765673344,8464.635791503119,"(54.464634, -6.8746488)"
B36,151600796.98873562,11480.56016575052,10238.499368935596,"(54.2284014, -7.2942287)"
B37,138653080.72704253,9200.602569810386,8112.855938941492,"(51.415515400000004, 0.872082391087612)"
B38,89302200.62303601,10671.869099311189,9420.982247069458,"(51.399435, 0.9186958175516218)"
B4,1709110.569276657,15124.87229448369,6975.180074633334,"(54.60297, -7.217537)"
B40,163427.76623619153,23346.82374802736,28125.87961512997,"(54.782557, -6.7075294)"
B42,117135161.5,12291.202678260544,11258.788432702204,"(54.8374963, -6.7508471)"
B43,147839537.24501932,12374.615991045392,11346.326563716628,"(54.5677677, -6.886375)"
B44,164112843.2336922,11011.328719383537,10203.385203388192,"(54.8641962, -7.0777699)"
B45,160982596.01871273,11947.64702528668,10179.151483502372,"(54.4157582, -6.8044434)"
B46,60235361.253093995,12257.91,10815.657554788502,"(54.7321124, -7.3206966)"
B47,55154697.89098942,13403.328770592812,12338.425381904332,"(54.7738714, -6.8554262)"
B48,28501929.15,13318.658479972895,11180.647050212758,"(51.4161697, 0.8724947999999945)"
B49,39341474.92717277,10564.305834364332,9050.057963102172,"(54.8995619, -7.1592206)"
B5,36920961.21170656,11094.038825632982,7882.882882882804,"(54.5368282, -5.55789)"
B50,27861969.46223798,9772.700618112234,8758.546816028964,"(54.6218258, -7.4924293)"
B6,82375405.71570544,14028.51,12073.013879185271,"(54.4603677, -5.8396247)"
B60,133882503.3234414,11681.572578609315,10270.151574496653,"(51.39617615, 0.9190828717702177)"
B61,111057223.52431308,10824.29079184338,9556.987817854964,"(51.39605315, 0.9190144)"
B62,130229907.50325204,13109.51353968714,11819.189133037347,"(54.8886852, -6.3574605)"
B63,169748498.14515942,11056.373226415646,10102.988363859607,"(51.3967153, 0.9192697788925417)"
B64,76934042.04619206,10272.939250392852,8863.606689692979,"(54.9665944, -6.2897153)"
B65,104906774.9015104,10720.087359647498,9740.190357218216,"(51.3964476, 0.9191186499999999)"
B66,99351022.3449626,12644.905478549395,10888.358714446338,"(55.2048106, -6.5232207)"
B67,147127495.7583569,12732.799286746596,11646.033385161116,"(55.1743848, -6.3378089)"
B68,158406033.44569156,12597.903089366277,11516.4778989283,"(54.9345808, -6.9211672)"
B69,131294277.87182166,11338.020541608088,10162.83081500317,"(55.10936, -6.9511563)"
B7,32588743.86,9999.614561303068,8324.530063660046,"(54.3720646, -6.0169835)"
B70,136784805.07233033,11478.124114486056,9698.43,"(55.0214817, -6.7397551)"
B71,137194939.58255497,10910.134360441749,9883.4,"(51.396612000000005, 0.919078312304435)"
B72,62128238.21680184,16414.329779868385,14734.10169062232,"(54.5169584, -7.6844022)"
B73,139892971.4641443,16057.50361158681,14718.275587841685,"(54.6460282, -6.7397617)"
B74,218225534.5571243,17641.51451553147,15097.112923202754,"(54.9017162, -6.9808221)"
B75,152950495.04941505,13924.844778715864,12500.642935425089,"(54.8805124, -6.6373445)"
B76,105410932.49933666,12675.677308722545,11587.180065439205,"(54.4847517, -6.3573037)"
B77,235294951.2620209,10233.32976392906,9393.781132908529,"(55.3503227, -4.696084)"
B78,111235370.14542946,10746.340464247847,9673.705325881614,"(54.2790836, -6.5259616)"
B79,100012073.7760645,10855.53823684625,9537.205189378144,"(54.1667967, -6.341949)"
B8,165318657.40214735,14001.75,12710.338797297927,"(51.41583034999999, 0.8717542000000084)"
B80,32766688.95709578,11148.9244495052,9763.716285455765,"(54.3692746, -7.4698857)"
B9,95813776.24562536,13121.579874777506,11811.781012509911,"(51.415976900000004, 0.8719738999999942)"
B90,254928511.99768975,12290.44990828704,11161.358987448946,"(54.851885, -5.7653803)"
B91,214907695.1056181,16288.29,14424.998120646247,"(54.3489118, -6.6390905)"
B92,184009052.02997437,12621.51396048936,11269.174312651336,"(55.1294069, -6.0627443)"
B93,123438185.25209016,16194.986257162183,14568.91674283119,"(54.8512737, -6.3655501)"
B94,32170639.43,18268.392635628792,15836.983228287749,"(54.9671774, -6.2905901)"
B95,19424131.792673834,12762.24165090265,10706.108288118498,"(54.7569985, -5.9259069)"
B96,26100704.84334568,14154.39525127206,12377.990638859845,"(54.9567404, -6.49577)"
B97,153422872.0977557,10692.234448237208,9593.585680543683,"(54.9304307, -6.0292974)"
B98,199868028.7695552,9832.154111056434,8696.443479052476,"(54.808083, -6.232683)"
BA1,210409708.6165419,12364.677006319676,10035.939173698473,"(51.3929188, -2.3883335)"
BA10,12525313.697752066,12438.24597592062,10320.24907148811,"(51.1073773, -2.4595349)"
BA11,128419597.09871794,10003.084366623923,8584.857494668027,"(51.2317616, -2.3207003)"
BA12,91780389.25568016,10163.941224327811,8829.167141920345,"(51.1385234, -1.9903162)"
BA13,77571623.98519906,9786.982587080376,8405.662171766518,"(51.2731596, -2.2110028)"
BA14,194242839.18544695,9983.185444079094,8781.571913388605,"(51.3185788, -2.1986355)"
BA15,66127268.37746521,11983.919604469957,10414.852188885325,"(51.347819, -2.2508827)"
BA16,48744876.86015417,9011.809365900195,7779.479632799928,"(51.1159615, -2.7407455)"
BA2,322946482.96435934,11732.842251202885,9787.668558723824,"(51.3797631, -2.3943917)"
BA20,51394422.82648727,10397.415097407904,8704.355003590668,"(50.9455684, -2.6492514)"
BA21,120007846.74478416,8514.214029427752,7593.276671573245,"(50.9468321, -2.6203251)"
BA22,25630653.75,9521.045226236847,8139.872460982556,"(50.8716343, -2.6604067)"
BA3,141459785.56069282,10621.698870753327,9131.953829675667,"(51.2234761, -2.4421615)"
BA4,54386180.891245246,10043.616046398014,8678.459520876948,"(51.1509827, -2.4422841)"
BA5,76230258.98582967,10237.746304838794,8516.783293790992,"(51.2501034, -2.6061635)"
BA6,43585432.723114714,9768.14,8092.320629485641,"(51.1395111, -2.6625565)"
BA7,16862451.850478385,10133.685006297106,8230.971759217324,"(51.0840552, -2.581256)"
BA9,24464172.297308285,9793.503721900835,8340.090698861783,"(51.0830416, -2.3894933)"
BB1,323203485.06151104,13052.39823364474,11615.865812899334,"(53.7647062, -2.4263685)"
BB10,192352608.37723,11583.319786657234,10213.161793293788,"(50.8356131, 0.3771824)"
