outcode,elec_total_cons_kwh,elec_mean_cons_kwh,elec_median_cons_kwh
B49,19351845.963999994,3877.3484199559193,2710.8000000002016
B5,25913445.14500003,3781.3286363636407,2894.6999999996256
B50,10310550.109000007,3279.437057569977,2582.7
B6,18941155.622999992,3207.6470149026236,2521.900000000249
B60,42651957.788999915,3474.135194998771,2731.8999999993866
B61,37999164.33999998,3375.0034940936125,2648.1000000005038
B62,35870406.615999915,3376.9917733006887,2717.6000000004715
B63,48129191.816999994,3008.6386083015564,2494
B64,24651454.54899997,3069.1551978336615,2455
B65,32235923.85100004,3102.889965444224,2532.3000000004654
B66,28387616.398999996,3292.0812245158295,2484.6999999995983
B67,34373384.62899997,2925.145487958469,2341.8000000004777
B68,41203438.07099993,3145.780887998162,2562
B69,39197825.76,3172.885361583285,2503.199999999493
B7,8899022.603000002,2641.443337192046,2141
B70,36047797.39000013,2877.3784634419003,2210.3000000004795
B71,38639173.72,2964.7183087547073,2421.6000000005583
B72,16142157.006999983,3826.0623387058504,3065.6
B73,37661710.17599985,3782.8154053836734,3021.199999999499
B74,56295667.2,4100.492912666611,3123.2999999997637
B75,38753111.58890241,3417.0806444671903,2782.300000000512
B76,31437566.456999887,3359.7912212247393,2680.6999999995483
B77,75677537.97900005,3183.875551306325,2620.3999999989824
B78,37892149,3389.583057786922,2655.6999999995023
B79,39754605.78700005,3547.617864269146,2657.199999999502
B8,36468461.94,3031.2078744908986,2439.3000000004945
B80,11392593.354000008,3465.9547776087643,2679.2000000000903
B9,21548304.44800002,2944.1596458532617,2352.599999999782
B90,71542191.74099974,3257.099555702242,2634
B91,56286917.23409769,3881.321006350689,3035.1000000008216
B92,52840682.07499982,3374.8918742415417,2680.3999999992106
B93,34958913.50399991,4106.532773875239,3134.8000000004695
B94,19292022.099000007,6002.4959859987575,3972.800000000169
B95,13886321.915000008,5047.736065067252,3184.799999999906
B96,9683447.46,4172.101448944425,3119.5999999998817
B97,48067498.89000004,3189.1918053343975,2529.1999999998943
B98,63591969.872000016,3041.659246759459,2525.200000000752
BA1,72324715.25,3456.873877019396,2490.700000000723
BA10,7259811.71,4662.692172125883,3119.2999999999083
BA11,56174741.45100022,3508.0710329732233,2538.6000000007666
BA12,55579670.06500009,4006.030709600698,2823.3999999992607
BA13,36364264.17300016,3642.983788118629,2723.8999999995917
BA14,78717305.76800017,3422.342757619241,2602.5
BA15,24058760.364999972,3617.858701503755,2691.5
BA16,17758372.12900002,2992.1435769165996,2339.6
BA2,115179969.13099945,3480.7037904868225,2591
BA20,17822217.19600004,3225.1569301483964,2472.800000000207
BA21,48958817.44,3093.764135418635,2466
BA22,40732011.40400001,4838.105642475354,3396.600000000462
BA3,55746606.87200006,3534.0818354253875,2703.3999999991993
BA4,32434453.451000053,3914.3680244991615,2762.3000000004236
BA5,31930024.41700004,3395.3662714802254,2440
BA6,24294796.762000035,3676.017061885313,2577.3000000003135
BA7,7381624.281000006,3535.2606709770143,2522.5
BA8,12093559.317999996,5928.215351960783,4557.799999999955
BA9,15606794.184999984,3963.1270149822203,2785.8000000000748
BB1,77637302.08,3105.367868325263,2500.6000000010195
BB10,47419424.37799994,2826.9598413020112,2288.199999999915
BB11,34680185.33100005,3148.164971949896,2557.800000000484
BB12,49274106.19799996,3015.182119569206,2414.5
BB18,23436443.400999956,3010.0749294888205,2381.599999999904
BB2,80501608.81,3134.6757841984227,2471.1000000010267
BB3,46905399.426999874,3014.679569830958,2418.399999999292
BB4,60815513.94900024,3259.4872949405208,2548.3999999991283
BB5,78104815.72700016,2870.972825840844,2335.600000001027
BB6,20531688.90199999,3133.652152319901,2470.5
BB7,58177142.77999987,3591.403344650896,2543.600000000776
BB8,33581645.51,3060.388728059783,2356.6999999995396
BB9,53769430.79100022,2863.8844629028076,2245.5
BD1,15797348.254999988,5443.6072553411395,4365.400000000228
BD10,37820930.36900018,3071.376512018855,2522.199999999492
BD11,15910380.011000024,3065.583817148367,2478.1999999998266
BD12,22125002.06099993,2889.5131332114315,2405.199999999654
BD13,36960777.81499989,3088.558353388476,2477.8000000004968
BD14,11082125.065999992,3046.213597031334,2416.0999999998367
BD15,20721012.56499997,3061.163032205639,2450.1999999996983
BD16,38275209.679999985,3212.6246164176587,2528
BD17,27716297.657999866,3219.830118262066,2568.199999999588
BD18,37147727.25199989,3136.6821964029295,2438.6999999995096
BD19,31051101.856999937,2969.124293077064,2368.3999999996972
BD2,36804752.01100001,2885.74,2347.399999999492
BD20,52783079.241000004,3185.8449566030904,2451.5
BD21,32668491.13399994,3154.851871945914,2392.899999999697
BD22,41880986.52,3076.3175055090273,2427.3000000005227
BD23,53694577.53409765,3687.814391078135,2543.300000000197
BD24,9955129.312000005,3517.713537809189,2331.5
BD3,30843715.491999965,3068.7210717341522,2431.699999999556
BD4,40670525.772999935,2982.803503703699,2389.3999999994126
BD5,29951624.17500005,3007.493139371428,2383.3000000004354
BD6,37737283.710999936,2928.3218523318023,2417.600000000546
BD7,33665891.45600001,3120.101154402225,2405.1000000003564
BD8,32152309.531999975,3181.5069792202626,2377.199999999561
BD9,31006991.07900001,3621.4659050455516,2773
BD99,35955.1,4494.39,4057.4000000000005
BH1,38230810.62899998,3225.4121850164497,2163.399999999657
BH10,28195863.575999983,3190.299114731838,2559.8
BH11,28339556.87299992,3136.294474656919,2487.6000000001814
BH12,46744052.340999864,3112.535113929942,2472.800000000188
BH13,23481620.835804693,4163.4079496107615,2486.1999999997793
BH14,43076484.18099996,3517.31,2573.100000000557
BH15,50025283.29100014,3013.0267596819936,2318.300000000076
BH16,21987369.071000032,3273.3912566622053,2628.099999999824
BH17,29173293.71799997,2981.7348444398986,2441
BH18,18164239.475000087,3566.510794227388,2891.599999999752
BH19,21436098.082000036,2975.995846452872,2016.3000000002387
BH2,20870153.25400002,3560.8519457430507,2283.400000000235
BH20,34347110.66500005,3613.203310014733,2620.5
BH21,70823150.10700004,3764.99,2790.200000000739
BH22,43230624.23699991,3367.3955629381453,2630.5
BH23,85537089.51100034,3286.3489131320243,2521.799999998812
BH24,45604360.60399979,4170.113442209198,2996.1999999994796
BH25,39322184.115000166,3173.9594894664756,2427.5
BH3,9379042.067999989,4102.818052493433,2980.5
BH31,20476683.446000002,3454.2313505398115,2747
BH4,18381952.03499999,3086.2914766621875,2018.5999999997805
BH5,17496904.940000027,2918.0962208138803,2019.3000000001377
BH6,34197366.85799998,3084.178107683981,2370.6000000003714
BH7,15387592.975000009,3189.799538764513,2553.300000000148
BH8,38504705.959000014,3176.4317735522204,2383.6999999995096
BH9,39836504.69600003,3183.355018059776,2605.8000000005195
BL0,25227965.359999966,3186.153745895424,2554.600000000036
BL1,90979105.57300024,3165.1511819162342,2470.7000000013236
BL2,63407206.22799999,3021.4050427904313,2485
BL3,76531031.04,2947.5824617547414,2415.799999998895
BL4,43757288.059000164,2914.044223428354,2387.3999999993307
BL5,39089309.97799988,3145.514603524574,2577.1000000005715
BL6,46194114.52400026,3204.3642150388637,2525.3999999993175
BL7,25788122.938000023,3766.338971520377,2909.5
BL8,50037207.99199999,3201.561711689807,2573.7000000000558
BL9,65092508.71590225,2988.087987325663,2398.399999999073
BN1,117315236.5449997,3132.4994404688714,2365.5999999993514
BN10,29055127.26600001,3267.925685074796,2539.300000000419
BN11,54415557.17400017,3143.954077536409,2282.7999999999975
BN12,33529958.269000098,3211.9894883609636,2549.5
BN13,43101333.11199994,3266.74,2584.1000000006275
BN14,44434980.477000155,3390.9478385989128,2697.199999999652
BN15,42039616.84400011,3322.5019239706085,2603.199999999478
BN16,47700328.553000174,3296.953867362467,2516.100000000682
BN17,47081475.368000135,3223.8753333333425,2506.8000000002335
BN18,26588839.434000038,3826.833539723667,2711.9000000000706
BN2,126585235.18039033,2952.356450704131,2266.400000001118
BN20,32393056.795000006,3164.311497020612,2424.5
BN21,41767145.796999924,3075.6366566273878,2197
BN22,43983222.592000015,2943.2027965738766,2317.800000000416
BN23,39237885.510999925,3023.4154346586474,2386.6000000005406
BN24,15752349.89700001,3223.9766469504725,2546.1999999998457
BN25,35822399.885000125,3086.2755134832537,2412.6999999995173
BN26,21853324.683902323,3516.222797088065,2482
BN27,49913195.70599998,3604.1010691024608,2636.3000000002417
BN3,120457273.9879996,3068.115279488541,2251
BN41,27437499.734999973,3008.167934985196,2418.100000000157
BN42,14044423.496000003,3220.4594120614547,2608.400000000211
BN43,35577403.81600004,3317.5497776948932,2566.100000000421
BN44,16391919.200000037,3687.7208548931467,2663.800000000124
BN45,1614865.694000001,6408.197198412703,4250.099999999986
BN5,15533833.176000016,4406.761184680856,2862
BN6,34022632.34699998,4068.2329722587565,2888.5
BN7,33390053.289999988,3585.3165779018564,2546.9
BN8,36920883.14499993,5107.329249550412,3477.3999999996795
BN9,19396170.751999978,3100.9065950439613,2440
BR1,82896819.28000014,3346.7971771165626,2606.200000001158
BR2,72863098.41599971,3480.4441564843423,2687.899999999033
BR3,74866239.90600015,3350.6194014500606,2575.600000000979
BR4,28779972.16999998,3815.4543510539547,3155.8999999997454
BR5,65738855.02699977,3345.1483323325756,2729.2000000007865
BR6,73477516.07800005,3698.8429941102468,2907.2999999990566
BR7,32871150.702000022,4199.176124425143,3070.300000000439
BR8,34589863.04200006,3468.0031122919654,2729
BS1,29298230.824000027,3693.209482415231,2654.3999999999064
BS10,38226874.34399997,2998.8918446693315,2426
BS11,24107851.013000056,2992.1622208017943,2477.8000000003767
BS13,41647026.52600014,3033.0658019081015,2496
BS14,41600157.32900007,3095.9408594924516,2576.300000000418
BS15,64026621.40800016,2957.6229401330447,2411.1000000009267
BS16,114691609.2829999,3100.02,2502.4000000008778
BS2,29485472.842951212,3215.7784756190654,2376.1999999995924
BS20,49797107.131999895,3353.3405476094204,2597.8000000000693
BS21,34364897.10800007,3178.697355286289,2452
BS22,48466611.79199985,2903.409320793138,2386.2999999999734
BS23,55312830.82700017,3153.165592691835,2339.100000000773
BS24,32526756.968999986,3047.002994754097,2392.3999999996613
BS25,11676996.308999991,3740.229439141573,2900.5
BS26,9701020.637000002,4541.676328183522,3344.7000000001217
BS27,11544839.675999988,3435.9641892857107,2664.7999999999242
BS28,6910678.432999996,4499.139604817706,3174.6000000000045
BS29,5075654.698999996,3514.996328947366,2608.7999999999356
BS3,52451741.52599996,2802.9573839576747,2261.3
BS30,42600621.35799981,3314.449650509594,2610.1000000006134
BS31,33910606.27399989,3155.355566576709,2510.8000000004727
BS32,32581912.177999984,3208.4600864598706,2538.6999999995405
BS34,47166945.42399985,2940.7659719433786,2368.1999999998834
BS35,38324078.567999914,3576.008077633658,2678.699999999511
BS36,24334643.42900001,3491.3405206599728,2752.3000000003617
BS37,61221985.38400032,3410.5055642582765,2610.8999999991374
BS39,27666946.051000006,3860.863250209323,2902.6999999996083
BS4,64599708.14800006,2968.6001630439805,2431.2999999992435
BS40,25816047.98899991,4440.324731510133,3249.3000000003553
BS41,9110307.441999981,3499.9260245870078,2747.0999999998844
BS48,36083114.35700008,3464.8659839639026,2709.600000000448
BS49,17992718.574999988,3191.330006207873,2535.900000000244
BS5,67659325.69699952,2767.8186008181438,2165.1000000009344
BS6,45385538.29100014,3103.284669470095,2324.899999999375
BS7,51237968.48300022,2975.837407538635,2448.8999999992075
BS8,44203415.901999906,3491.3052604059635,2373.3999999994885
BS9,48088135.66500005,3682.66,2891.3999999992893
CA1,34098837.208999895,2830.4837062339084,2278.5
CA10,32970260.171999946,4907.018927221305,3334.1000000001773
CA11,41327130.14599999,3602.120643772334,2531.6999999995082
CA12,15986428.403000023,3525.122029327458,2345
CA13,26991822.612000003,3479.2243634957467,2533.199999999629
CA14,50900281.88,2958.802643608661,2411.5
CA15,22231185.295000013,2918.627451096234,2403.6999999996565
CA16,12264086.619999995,3958.7109812782423,2767
CA17,10912545.199000001,4386.071221463023,2955
CA18,864324.3029999998,4883.188152542372,2777.700000000008
CA19,2795387.08,5274.315235849057,3554.399999999968
CA2,53792215.36799996,2724.760174653022,2233.600000000823
CA20,6179872.683000002,3857.5984288389527,2667.2999999999215
CA21,1571662.3700000008,4213.572037533514,2900.3000000000197
CA22,12795245.33799999,3108.660189018462,2442
CA23,2404621.399000001,3495.09,2690.300000000031
CA24,1494090.999999999,3199.338329764452,2521.699999999978
CA25,8203870.746999976,2823.080091878863,2374.5
CA26,5621311.770999997,3152.726736399325,2469.7999999999183
CA27,2314474.42,3166.1756771545824,2610.3000000000316
CA28,41057127.511000104,3042.620980509864,2456.800000000523
CA3,20578372.65000004,2952.420753228126,2399.1999999996947
CA4,17258435.43900004,3933.994857305685,2877.599999999773
CA5,12370052.986999994,4009.7416489465136,3003.7000000000485
CA6,18977905.025999982,4841.302302551016,3451.6999999997984
CA7,37388858.859999985,3664.5,2727.300000000481
CA8,19060213.812000018,3965.1,2852.800000000209
CA9,4386570.792999997,3851.247403863035,2594.3999999999455
CB1,66593071.30700013,3017.493828764336,2257.2999999993813
CB10,28325862.54,4230.266209080048,2908.4000000000196
CB11,36333083.139804736,4344.503544159361,3072.899999999654
CB2,32230505.411000025,3444.534082611951,2363
CB21,31017796.958000027,4580.300791199059,3144.6999999996005
CB22,43355371.29399993,3908.7063914532937,2786.1999999994932
CB23,58577507.19099981,3974.0506913839763,2841.899999999212
CB24,52882767.312000155,3296.5195930682057,2519.5
CB25,30386957.432000093,3829.9669059742996,2782.6999999995883
CB3,23825087.880999986,3515.5803277261302,2343.599999999743
CB4,57618419.67299995,3051.823075900421,2294.2999999997355
CB5,17931816.599000014,3177.7098350168376,2379.6999999998025
CB6,67218841.75400001,3828.8244334700394,2785.3999999991115
CB7,46118668.51800004,3453.547140781791,2510.899999999387
CB8,60476667.48799992,3892.4288786767024,2662.5
CB9,44539730.51099983,3177.324191111416,2487.3999999993534
CF10,36868804.46999998,3977.646398748514,3122.1000000004738
CF11,53329856.11760948,2946.7264956132985,2202.700000000029
CF14,99285073.05799884,3015.1256660693866,2471.2000000015346
CF15,25808676.076999996,3204.8523627219665,2605.1999999996056
CF23,59955206.94000026,3123.805915698445,2540.2999999994327
CF24,67790881.33899981,2884.963883692221,2197.299999999298
CF3,57979379.952999994,3022.5930535397765,2470.7999999995022
CF31,55653092.502000116,2784.4645270425835,2324.2999999995523
CF32,40737914.746000074,2918.3977896697525,2402.699999999474
CF33,18816060.27700001,2940.009418281252,2446.1999999997247
CF34,25618681.435000114,2826.73,2337.899999999898
CF35,26304005.591000102,3134.4143935891448,2515.899999999903
CF36,22450254.597999994,2911.080731068464,2328.5
CF37,47121964.68,2742.199993133153,2259.8000000000493
CF38,29522841.536000136,2950.2190002998036,2472.100000000301
CF39,36533665.21,2823.3126129057264,2391
CF40,25213447.042000204,2763.420324638339,2310.199999999604
CF41,13077161.349000007,2651.4925687347945,2225.8000000000757
CF42,16317146.58900002,2621.2283677108467,2216.199999999788
CF43,15136368.12600007,2728.7485354245664,2325.8000000001753
CF44,51721282.61200002,2762.446328686643,2297
CF45,24287302.079000074,2711.5442758736267,2265.8000000003826
CF46,18528501.68700005,2876.2033044085765,2383.199999999734
CF47,26512404.52500009,2738.6018515649303,2353.8999999998005
CF48,33741605.989000015,2758.9211765331165,2322
CF5,90920259.19399917,2945.5489420416357,2377
CF61,12799691.674000008,3037.420900332228,2397.4000000001906
CF62,57938119.90800015,2942.963372174539,2421.799999999487
CF63,28478302.055000093,2793.359691515458,2292.5
CF64,53155578.59699981,3105.426102529638,2431.1000000007834
CF71,18275030.85699999,4099.378837371016,3013.9000000002357
CF72,36593605.48500013,3004.154460635427,2450.899999999495
CF81,19901286.149999984,2736.7005156765654,2332.9000000002434
CF82,25561032.784000143,2934.3396606589536,2469.6999999995965
CF83,69223522.33499998,2876.044801819767,2384
CH1,48231376.94204889,3182.9589481983035,2438.100000000694
CH2,46559652.658097416,3027.8762215059774,2390.3999999993102
CH3,57014801.43,3589.674584839149,2747
CH4,48183281.97290234,3042.6422059170463,2455.8999999992666
CH41,27408884.56,2686.3554409487506,2136.6999999995924
CH42,41060419.88700002,2818.3416766421865,2310.800000000514
CH43,53427014.48199987,3031.147990582087,2441
CH44,38177192.600999944,2810.0392021934304,2390.5
CH45,41061321.10799998,2902.065241925223,2374.6000000006143
CH46,32677073.345000025,2828.4491772699753,2387.6000000004237
CH47,15296656.80799998,3163.734603516025,2550.800000000149
CH48,23506893.41899998,3362.931819599425,2553.5
CH49,38598584.28097564,2857.249558144618,2420.6000000005906
CH5,54029279.98499999,2957.591415863805,2447.2000000003486
CH6,21272632.415999983,2776.018845882811,2306.9000000001733
CH60,22425311.009000093,3731.9539039773827,2910.400000000192
CH61,23957613.696000036,3082.1579436511047,2551.899999999993
CH62,39697138.39299996,2848.7361602439873,2380.1999999994764
CH63,39959514.36600002,3125.2553078366977,2624.600000000614
CH64,30499644.755999997,3428.8526988195613,2696.6999999995614
CH65,37752048.57699983,2790.866310120487,2363.800000000515
CH66,47610416.86400006,2933.843780133107,2473.2999999999506
CH7,75387990.92199992,3318.717684539528,2626.5
CH8,32017962.486000087,3514.595223490679,2723.1999999995514
CM0,32606419.519999977,4027.472766798416,2973.8000000004395
CM1,106144343.6079988,3481.854800984051,2659.299999998471
CM11,31950716.849999953,4189.708477576705,3132.1000000002587
CM12,32415231.92300011,3619.7913928531666,2894.600000000355
CM13,43911410.78300002,4017.51,2966.6000000005833
CM14,36177923.468999945,3554.5218578306094,2618.199999999531
CM15,40583312.71000002,4014.1753422354127,3055
CM16,39703568.85899997,3925.6049890251106,2913
CM17,38807366.223999985,3417.3446833392027,2607.5
CM18,30712377.721000038,2901.5000208786055,2401.199999999544
CM19,27362158.653390586,3276.9052279509683,2555.3000000004004
CM2,90924021.08,3439.1414283985323,2657.5
CM20,35323645.035999894,3203.3776218372986,2464.5
CM21,19671620.418000005,3797.6101193050204,2868.900000000249
CM22,30796447.52400005,4767.251938699698,3295.3999999998914
CM23,68164151.99,3601.614286748388,2740.700000000712
CM24,13501665.326999981,3769.3091365159075,2862.099999999807
CM3,105338334.87699984,4449.35,3242.8999999998305
CM4,23416598.576000005,5120.620725125739,3421.300000000275
CM5,24416337.256000046,5032.221198680966,3439.699999999695
CM6,53794977.20900001,4306.6990000000005,3068.5
CM7,77536934.45,3557.7193013673673,2674.6000000009853
CM77,24701378.39900004,4012.5695904808385,3040.1999999996483
CM8,56310659.25100013,3587.8088086014736,2686.600000000793
CM9,61082970.143000074,3920.601421245191,2860.1000000008303
CO1,26829221.592000037,3086.301805130569,2243.5
CO10,83474734.30021869,3626.4981449395555,2572.100000000993
CO11,23208403.76700004,3494.7152186417766,2630.5999999998066
CO12,33448308.09399999,3162.3624935236826,2441.5
CO13,21660740.461999964,3171.4114878477253,2394.6999999997042
CO14,11139954.379999984,2905.5697391757913,2211.799999999878
CO15,72591141.50800024,3291.6674152269643,2499.1000000009562
CO16,44130166.61395118,3626.143517991058,2730.1999999994764
CO2,56190110.91300015,3336.1106045835154,2552.299999999756
CO3,46667966.01300004,3299.0220566237836,2585.1999999997633
CO4,71124131.70199998,3315.5011981167245,2589.3999999990397
CO5,50844433.38599996,3818.583055651518,2788.699999999812
CO6,54137497.37500012,4316.496362222941,3079.1000000007284
CO7,60193379.79899988,3735.0074335442964,2682.4
CO8,4909635.3599999985,4658.098064516128,3150.200000000048
CO9,47511177.02399998,3925.245953734301,2803.199999999513
CR0,220258495.6599998,3170.829431935964,2443.1999999991704
CR2,75182699.25499998,3588.672995465393,2787.6000000009867
CR3,52541493.68,3966.593211460071,2932.699999999952
CR4,73197918.25,3174.3752221692093,2497.1000000009794
CR5,48689763.756000124,3804.1849953902747,3020.199999999937
CR6,18430018.06500004,4154.647895626699,3104.400000000239
CR7,55946109.24500007,3337.077795705343,2577.799999999742
CR8,56992581.896999925,4037.445586355903,3064
CR9,18342.4,2620.342857142857,1997.5
CT1,43608788.43299991,3269.0246201649106,2424.1000000005806
CT10,37140598.21,3016.8628223540004,2373
CT11,43496953.251999974,2961.5955097705437,2263.199999999476
CT12,25459791.514999997,3113.2051253362674,2509.399999999943
CT13,14024235.432999996,3275.9251186638626,2385.199999999975
CT14,50122340.35,2833.0511162107277,2179.6000000007275
CT15,20933210.873000048,3810.8885623520932,2803.4000000002534
CT16,27696353.83000009,2879.338167169154,2260.3999999998628
CT17,27476397.840999994,2856.4713422393174,2329.899999999822
CT18,21879957.20900006,3545.6096595365516,2754.699999999688
CT19,35016075.021000125,2915.091160589421,2365.6999999995137
CT2,36601507.63500002,3241.08,2464.800000000481
CT20,36708292.63600003,2936.1936199008182,2158.199999999528
CT21,27281398.486999955,3138.679071214905,2371.399999999937
CT3,33387267.408999965,3784.117353394533,2727.600000000268
CT4,32797221.23,4497.0823022075965,3090.1999999995815
CT5,49442842.22599982,3106.096383088316,2398.800000000101
CT6,57006188.70595112,3162.2670830393918,2493.1000000008353
CT7,19471381.834000003,3283.538251939292,2484.800000000246
CT8,11127237.710000018,2832.8,2196.5999999998403
CT9,67029085.64102443,3095.316815563354,2383.2000000007006
CV1,44005234.69199999,3610.241586020181,2540.4
CV10,76091934.82,3102.247831702536,2479.2000000010457
CV11,58444712.88500018,3130.9108525740708,2493.2999999995473
CV12,43406638.11,3076.739304862511,2480.8000000003813
CV13,20598519.876999985,4261.174984898632,2940.5
CV2,87903019.32000017,3094.196181491787,2449.7999999987105
CV21,54612427.72500008,3069.838545531202,2395.5
CV22,54980739.76299997,3301.948217104076,2616.100000000815
CV23,48494619.09199995,4157.9884328217395,2870.6000000006115
CV3,91176669.51,3116.831419478358,2486.2999999986378
CV31,45988257.464000046,3165.927128183949,2403.3000000003894
CV32,53422168.34,3502.633644440067,2596.2999999999906
CV33,15472236.54400002,3872.9002613266634,2717.0999999997966
CV34,55271574.54399976,3283.5248941959103,2536
CV35,58061841.69000009,4789.79,3175.100000000726
CV36,23680902.146999974,4565.433226720643,2954.6999999997347
CV37,85077256.14299981,3831.6184535669163,2655.7999999990147
CV4,43463257.38000001,3189.2616216612864,2497.1999999995232
CV47,36715097.32999996,3974.3556321714614,2809.8000000004618
CV5,65973308.55800003,3151.6413585248188,2470.600000000921
CV6,109349302.72599992,2987.1961625416575,2403.700000001643
CV7,46719753.33400011,3732.205890238066,2837.8000000003312
CV8,52320631.63800005,3691.0498510052944,2772.199999999986
CV9,35067559.81600014,3456.2940879164344,2665.6000000004024
CW1,57784357.274000086,2898.4930414325886,2372.5
CW10,21507909.387000017,3145.3508901725677,2544.699999999678
CW11,40278633.19,3187.357219909789,2491.1999999994887
CW12,51192059.15699996,3255.042866217331,2561.7999999999392
CW2,60383272.14299985,3087.2371871261234,2481.600000000884
CW3,18225204.164000012,4146.804132878274,3013.5
CW4,17499914.66800002,3661.836088721494,2873.3000000002094
CW5,54035272.133000016,3553.783106412365,2647
CW6,27685070.418000046,4717.9738271983715,3255.5
CW7,44536126.91500003,2983.9951031825817,2486.7380000005624
CW8,60077526.21300002,3311.1511360780437,2589.100000000864
CW9,49905073.23699995,3193.924687167997,2545
DA1,80316728.08695126,3028.7626550626464,2456.8999999989614
DA10,14661229.325000016,2766.269683962267,2251.5
DA11,51823264.285000026,3018.2448622597567,2406.5
DA12,63142143.107000455,3218.09,2581.399999999091
DA13,25168343.56300003,4345.363184219618,3256.1999999996447
DA14,33153156.041999985,3253.8184357640575,2510.6999999995423
DA15,40658415.35100024,3470.924991548595,2825.6000000006015
DA16,46421290.681000054,3304.006454163705,2759.3000000000543
DA17,26099364.81599997,3372.8825040061993,2637
DA18,5329826.661999999,2863.9584427727023,2290.700000000078
DA2,34032229.088000044,3565.8245062866768,2799.7
DA3,29574678.186000034,4169.558464119559,3187.100000000189
DA4,14638210.855999986,3585.160630908642,2693.800000000076
DA5,31133482.19,3647.3151578022494,2975.5
DA6,15935626.528999984,3301.3520880464025,2630.800000000166
DA7,46466886.37699993,3272.546403056548,2712.3000000000748
DA8,51213752.45800026,3301.34,2662.100000000778
DA9,22083917.256000042,3309.939636690654,2542.8000000003117
DD1,23377793.63000007,3166.435545171349,2265.3000000003053
DD10,40233091.448999956,3468.6689756875553,2584.6000000005088
DD11,49303492.43960942,3263.619013676403,2462.8999999993007
DD2,72049734.81599993,3179.4596362031652,2395.2000000008125
DD3,59155982.01000002,2969.2306384580647,2262.8999999991624
DD4,70989003.04899986,3082.457796309156,2407.1000000009594
DD5,53160114.20000011,3321.2616643758656,2597.799999999849
DD6,14758289.082999991,3177.241998493001,2527.0999999997844
DD7,18628167.400999967,3212.8608832355926,2480.1999999997665
DD8,52149902.66700012,3473.881072941655,2588.199999999952
DD9,20403229.219999958,3552.094223537597,2666.4000000002525
DE1,27434203.325000014,3138.565761926555,2165.4000000000638
DE11,65742050.8,3084.3092092892375,2464.2
DE12,37095588.55704895,3866.137421266175,2831.5
DE13,67589642.7,3497.3425800476048,2621.1000000009094
DE14,42701539.968000166,2878.238067403624,2236.199999999477
DE15,35496270.73200005,3210.2985196708014,2530.5
DE21,78402531.79500034,3098.914300197642,2511.899999998973
DE22,69803643.44300008,3160.967415794959,2472.7000000008256
DE23,72925110.95600025,3097.659967547373,2449.1
DE24,74140997.92699997,2965.28,2432.6000000010063
DE3,26034462.700999986,2952.7574799818517,2384.6000000000913
DE4,55389522.889902174,3313.7614651452095,2400.7000000000485
DE45,15736868.862999998,3668.27,2516.800000000064
DE5,32283427.27999992,3050.2104383975734,2388.600000000327
DE55,76189015.75,3057.098778067591,2428.899999998996
DE56,60037026.29399974,3300.7326567705613,2506.8
DE6,53391530.35499989,4437.460967004646,2977.300000000304
DE65,36032064.037000015,3444.4187015581697,2628.3000000004777
DE7,71123079.70799987,3042.0478917023042,2429.7000000009093
DE72,31597196.536000047,3401.9376115417795,2613.399999999722
DE73,32481205.274999894,3563.4893335161705,2655.8000000004413
DE74,19960350.012000006,3317.325911916238,2560.599999999747
DE75,26235243.422000024,3109.9150571360865,2483.6000000000863
DG1,44179698.09100005,3203.9812960330737,2468.1000000006256
DG10,8180833.324000006,3984.8189595713616,2812.2000000001062
DG11,25038398.291000016,3959.892185829514,2877.5
DG12,20431261.896999978,3165.183872501933,2477.8000000002853
DG13,4850579.356999997,3253.2390053655245,2372.100000000061
DG14,2775986.700000002,4491.887864077673,3193.399999999965
DG16,5932678.054000007,3142.308291313563,2469.2999999999124
DG2,38351421.49300006,3370.07,2517
DG3,11187243.715999998,4521.925511721907,3230.2000000001285
DG4,6080792.788999996,2916.4473808153457,2341.600000000004
DG5,10255430.329000004,3386.8660267503315,2447.9000000001247
DG6,9783078.501999995,3510.254216720486,2532.2000000001212
DG7,26092319.213999957,3999.435808399748,2839.099999999902
DG8,27370293.729000002,4075.9931093075206,2946.899999999996
DG9,29155990.867000002,3481.7280710532605,2593.8999999998637
DH1,59128666.03799988,3030.0638535410417,2354.9
DH2,38023240.05799998,2633.370736062053,2210
DH3,34063598.506999925,2707.9734881151066,2223.1000000004383
DH4,44270131.24900015,2720.9668868469666,2247.3999999993143
DH5,27095322.307902373,2650.9463171805473,2171.5
DH6,45234706.69,2689.02,2199.3000000001994
DH7,56128910.736999795,2773.441582023905,2217.3999999991656
DH8,51803024.65899987,2830.9210699491705,2280.6000000007853
DH9,46905172.48600029,2661.8904991771346,2172.1999999999066
DL1,62841751.71299982,2787.3919588822278,2258.2000000006697
DL10,28313160.17,3337.6352903453967,2433.8999999999346
DL11,14036316.035999991,5094.851555716875,3327.7000000000567
DL12,21285874.555000033,3474.1104219030576,2516.699999999732
DL13,24399354.179000046,3616.3263938046607,2580.599999999801
DL14,51016130.48400019,2838.013489319103,2282.7000000001135
DL15,29850632.69600007,2808.678273993232,2261.699999999561
DL16,28387610.117000017,2648.3450057841233,2183.699999999569
DL17,23876231.581999987,2649.970208879022,2137.699999999637
DL2,32233640.503999993,3587.4947695047294,2668
DL3,59119508.70199992,2832.6150496861633,2298.299999999472
